,Base_vs,BottomUp_vs,JPP_vs,OLS_vs,OLS_vsv,WLS_vs,WLS_vsv,MinTShr_vs,MinTShr_vsv,EnergyScore_Opt
0,1270948770.09103,1291577009.98394,1241033412.31986,1256899537.0722,1267899745.94638,1234691714.61434,1300352000.33376,1237034462.00946,1341994132.81022,553194945.6
1,1026300857.12432,1715061896.27492,1307638571.75762,1053587187.7151,1037075831.08457,1298864847.05334,1029276948.58812,1244411575.91144,986194155.022594,553194945.6
2,374827807.491573,1261113139.72245,721304050.978615,386441813.203607,368133819.755011,715581272.199408,389812140.086887,780167644.972018,405807389.805433,553194945.6
3,326637077.676845,240173621.635396,219906832.484351,303036146.950676,313016979.129731,216489204.941647,318070071.677209,201543285.100145,297121494.772895,553194945.6
4,627921591.785477,1686258167.70796,1031923044.60201,653111447.366227,642274674.696747,1026897648.83231,702388943.375104,1046963186.46299,654010125.575016,553194945.6
5,225949363.81753,289328781.365383,197242368.646185,198897183.699309,200254772.517449,194301087.983807,241005931.420988,214724389.466422,254578507.462317,553194945.6
6,424604211.256144,1122012507.73671,639563095.166402,430978696.871216,432362385.43631,636414695.131896,426231645.004486,616732591.363932,407054747.628439,553194945.6
7,259774907.441726,409566751.270283,243238324.294729,235735201.624894,235997610.480418,241023962.443901,256434369.647633,253028944.86445,237112517.84061,553194945.6
8,278922869.307398,245994761.01215,211230262.315405,255405095.453006,253321062.565742,205998127.518006,220121191.858182,213371625.483166,236893400.175028,553194945.6
9,825883368.454333,1434625612.11183,1063069306.47607,842821871.905256,829095605.390377,1053784108.7865,804126225.98099,987349027.798471,769733445.326855,553194945.6
10,1131971008.41653,3179884825.00761,1892774470.72661,1166486964.15324,1155289157.08425,1886334404.54523,1275960932.78724,1978786452.29334,1160644555.07483,553194945.6
11,292568594.344365,548540141.900127,340090597.463695,280774527.019135,280299091.534617,333274666.520982,271846479.845179,321314368.446145,243477343.04303,553194945.6
