series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Optcv
1,784.1819412823343,1692.8389955461407,1212.2694936470245,784.3338579437068,787.0276581985654,1121.2566725492177,1164.9192976861984,1081.9041755807768,1348.254411143778,703.1405468116242
2,301.0712455888916,605.0384085866624,443.9351492437959,323.6767408045942,330.2309171853995,477.8750600577593,518.044495814496,492.00674998200907,610.0357601684015,273.70856615479994
3,185.86454587779818,237.29719355210685,212.03624963756602,177.81508931163194,177.4270407167145,186.71691840492045,187.4966437456039,192.97146811078088,207.96139380132584,222.29302137906916
4,407.5124208470804,552.6828286249876,475.8578766959586,447.7397054531543,454.8323009252884,529.0535132197057,533.7374121590743,495.63458408086257,526.1975761431764,455.24351297768544
5,152.75580023967984,210.396395605665,159.31515624826258,153.06823657563197,151.3429414851202,170.24168700441223,168.55426528612335,172.64267773161626,186.8119789273851,181.08938882117252
6,413.23381719047774,262.5871123283637,283.6784588052105,338.03035093024727,339.9327114515074,301.8360033016467,302.2212892169112,306.0231290858976,299.9027352915126,288.5185877293025
7,82.4308183207388,97.47618066260166,86.94306992251386,89.38192980140964,89.17423765261499,89.87154736826994,89.63318415992079,89.8887607681757,93.4655518223845,130.51978968390986
8,156.61552952641193,178.67251946061026,151.18048460079126,150.00609588877265,148.26349225133302,166.4812577942124,165.39654046040172,168.73999727607517,167.11199732800077,133.5798976684371
9,162.94807238659135,168.94583363380409,159.40406698832678,157.3951194274114,157.814348924288,163.62114584585206,163.1125610292993,164.8202867995667,167.7028564049635,278.4044474715062
10,290.11795472556844,328.27147516265615,279.28948318863627,241.78899140310497,223.5894582564621,302.52343145217964,297.19925652669957,272.7889712114754,338.4328167514579,181.39444478833332
11,133.3353253921948,134.64135001074905,145.07222843899902,174.78355299835312,183.1604014384445,150.44418870336065,151.8838624513522,151.5919368594681,133.98634471293414,98.59698690693597
12,116.50694856481074,95.3517869259681,71.86010138711846,68.15264510123505,116.50694856481074,72.00018762699348,116.50694856481074,89.3357914106469,116.50694856481074,116.50694856481074
13,176.4675405867075,163.48515507701026,145.9063230517386,135.4339767162228,130.46407250130235,149.006483111755,144.66029800390712,156.25550257339134,161.78383580871053,153.77599536642373
14,52.354703446488976,53.45614380518652,44.245696107229385,38.686264978522814,41.95972131446937,44.379576238112826,43.266125798023786,40.27920626114341,51.67065496764082,59.615941474134274
15,130.54414318834083,145.77831403358712,133.45903875893248,125.74413213480176,127.2784307442264,131.78084970456143,134.10923821380683,122.99447020629036,137.12416331592186,136.1443988623784
16,63.26783613854346,62.086582091894364,64.93070095497481,67.93536490603805,68.44145972669882,65.96941944648303,66.12246541234323,65.70806444717498,64.15508149583381,87.04064861248827
17,71.5989706272997,70.17746251661929,70.3959349957364,69.18275899832976,69.37975772868215,71.36129811331483,71.58878307488973,72.36284344497321,70.92540507272236,106.78055517837333
18,71.6333134325899,86.9047412250547,74.60747547152391,69.86181060930909,70.02481944252877,73.36945665873927,73.16221469125453,75.6244932663826,74.83828361069885,60.78457367046631
19,64.24394920378627,77.50464505220116,61.25942622423374,61.18166392713501,60.738420124404335,59.01928926717039,59.79647332072315,67.79323951553326,76.49002597805952,56.70664017603983
20,349.2604983265032,358.26553122056134,326.62488402894974,341.4375843086941,334.1192418631847,364.90304704881265,363.6599951569806,330.89336174109144,356.4088002291803,345.52955074554785
21,136.04340451000857,136.05762849552113,120.44308429433586,115.19888295298598,112.61937936009372,122.68828218089766,121.28619848449638,127.83353967723423,131.30686092008963,124.31122323860772
22,113.67329723018766,100.44631586524025,105.72807737379622,111.16898433155525,113.68593403510978,102.62855861266074,102.6496239083283,99.62278388918479,98.87003029610459,134.3887097312935
23,122.61366477507346,120.1548006537913,119.04485391917801,117.45662459805173,122.61366477507346,119.88846066299988,122.61366477507346,120.49670077565612,122.61366477507346,122.61366477507346
24,86.97335449927651,84.4108422035366,79.84493230542652,80.50138500486338,79.9762305885494,80.26152021776096,79.85722443556446,74.01580623267394,82.51607276283934,76.9290086825583
25,58.42442868709259,62.26118408602753,59.135739407379276,52.58650284768907,52.243828537189785,57.24430827692172,56.95709541525391,59.21762991108534,60.00394522602665,56.37459265243308
