Date,Node,Value,Day_of_Week,Day_Of_Month,Month_Of_Year,Code,Agent,Access,State
2016-01-01 00:00:00,Total,156508,4,1,1,0,0,0,0
2016-01-01 00:00:00,de,15342,4,1,1,0,0,0,1
2016-01-01 00:00:00,en,63319,4,1,1,0,0,0,2
2016-01-01 00:00:00,fr,33489,4,1,1,0,0,0,3
2016-01-01 00:00:00,ja,17242,4,1,1,0,0,0,4
2016-01-01 00:00:00,ru,12286,4,1,1,0,0,0,5
2016-01-01 00:00:00,zh,14830,4,1,1,0,0,0,6
2016-01-01 00:00:00,de_AAC,10343,4,1,1,0,0,1,1
2016-01-01 00:00:00,de_DES,932,4,1,1,0,0,2,1
2016-01-01 00:00:00,de_MOB,4067,4,1,1,0,0,3,1
2016-01-01 00:00:00,en_AAC,40008,4,1,1,0,0,4,2
2016-01-01 00:00:00,en_DES,13922,4,1,1,0,0,5,2
2016-01-01 00:00:00,en_MOB,9389,4,1,1,0,0,6,2
2016-01-01 00:00:00,fr_AAC,8959,4,1,1,0,0,7,3
2016-01-01 00:00:00,fr_DES,2065,4,1,1,0,0,8,3
2016-01-01 00:00:00,fr_MOB,22465,4,1,1,0,0,9,3
2016-01-01 00:00:00,ja_AAC,12210,4,1,1,0,0,10,4
2016-01-01 00:00:00,ja_DES,811,4,1,1,0,0,11,4
2016-01-01 00:00:00,ja_MOB,4221,4,1,1,0,0,12,4
2016-01-01 00:00:00,ru_AAC,2412,4,1,1,0,0,13,5
2016-01-01 00:00:00,ru_DES,3500,4,1,1,0,0,14,5
2016-01-01 00:00:00,ru_MOB,6374,4,1,1,0,0,15,5
2016-01-01 00:00:00,zh_AAC,11712,4,1,1,0,0,16,6
2016-01-01 00:00:00,zh_DES,2512,4,1,1,0,0,17,6
2016-01-01 00:00:00,zh_MOB,606,4,1,1,0,0,18,6
2016-01-01 00:00:00,de_AAC_AAG,10286,4,1,1,0,1,1,1
2016-01-01 00:00:00,de_AAC_SPD,57,4,1,1,0,2,1,1
2016-01-01 00:00:00,de_DES_AAG,932,4,1,1,0,3,2,1
2016-01-01 00:00:00,de_MOB_AAG,4067,4,1,1,0,4,3,1
2016-01-01 00:00:00,en_AAC_AAG,39747,4,1,1,0,5,4,2
2016-01-01 00:00:00,en_AAC_SPD,261,4,1,1,0,6,4,2
2016-01-01 00:00:00,en_DES_AAG,13922,4,1,1,0,7,5,2
2016-01-01 00:00:00,en_MOB_AAG,9389,4,1,1,0,8,6,2
2016-01-01 00:00:00,fr_AAC_AAG,8940,4,1,1,0,9,7,3
2016-01-01 00:00:00,fr_AAC_SPD,19,4,1,1,0,10,7,3
2016-01-01 00:00:00,fr_DES_AAG,2065,4,1,1,0,11,8,3
2016-01-01 00:00:00,fr_MOB_AAG,22465,4,1,1,0,12,9,3
2016-01-01 00:00:00,ja_AAC_AAG,11261,4,1,1,0,13,10,4
2016-01-01 00:00:00,ja_AAC_SPD,949,4,1,1,0,14,10,4
2016-01-01 00:00:00,ja_DES_AAG,811,4,1,1,0,15,11,4
2016-01-01 00:00:00,ja_MOB_AAG,4221,4,1,1,0,16,12,4
2016-01-01 00:00:00,ru_AAC_AAG,2363,4,1,1,0,17,13,5
2016-01-01 00:00:00,ru_AAC_SPD,49,4,1,1,0,18,13,5
2016-01-01 00:00:00,ru_DES_AAG,3500,4,1,1,0,19,14,5
2016-01-01 00:00:00,ru_MOB_AAG,6374,4,1,1,0,20,15,5
2016-01-01 00:00:00,zh_AAC_AAG,11682,4,1,1,0,21,16,6
