T,D1,D2,D3,D4,D5,D6,D1ACT,D1NSW,D1NTT,D1QLD,D1SAS,D1TAS,D1VIC,D1WAS,D2ACT,D2NSW,D2NTT,D2QLD,D2SAS,D2TAS,D2VIC,D2WAS,D3ACT,D3NSW,D3NTT,D3QLD,D3SAS,D3TAS,D3VIC,D3WAS,D4ACT,D4NSW,D4NTT,D4QLD,D4SAS,D4TAS,D4VIC,D4WAS,D5ACT,D5NSW,D5NTT,D5QLD,D5SAS,D5TAS,D5VIC,D5WAS,D6ACT,D6NSW,D6NTT,D6QLD,D6SAS,D6TAS,D6VIC,D6WAS
654.089779,180.847074,195.246569,80.348487,89.097831,66.461943,42.087876,2.70185032,53.78237166,2.98496223,40.68699806,9.27174381,3.36468005,45.47396261,22.58050571,3.13375937,61.6528979,2.06152042,47.54149217,10.68580919,4.00250711,48.5936586,17.57492447,0.80415311,27.02250157,0.62919517,14.37855638,6.60159806,1.60868306,20.00006832,9.30373088,0.67404922,29.86395126,0.31752224,23.74250782,5.72106551,1.66460284,21.49487557,5.6192564,0.74681423,27.38142567,0.3026063,8.87104473,5.09419135,1.31253574,17.53858216,5.2147424,0.36792826,16.86022315,0.13903596,6.33044032,3.59352933,1.1796596,10.36693403,3.25012501
690.541271,170.061753,211.106853,100.195049,85.040781,76.165757,47.971078,3.30574237,47.32829187,1.97116917,37.36531552,12.32746489,4.77422082,42.83064302,20.15890546,3.57275613,61.60332901,0.98488733,50.31695657,11.14071514,6.01079829,51.88857619,25.5888341,0.75010819,30.54329116,0.59496872,25.219406,6.80840229,1.7189652,25.28528144,9.2746263,0.92421381,29.51095636,0.13178743,16.8105239,5.33777884,1.86499212,21.69751672,8.76301137,1.0796345,25.34356248,0.25193162,16.3757079,5.30662734,2.68653524,18.41461035,6.70714761,0.21067113,20.26548086,0.27925446,8.40572312,4.11012616,1.65840716,10.96661523,2.07479966
666.738961,185.640978,189.944251,96.186596,85.435386,67.708691,41.823059,2.317278,57.99506414,1.73943864,37.91772928,15.39645464,3.81012233,43.69775,22.7671408,2.47196409,60.094375,2.01308043,40.28726576,12.25752151,4.60898314,47.18966577,21.02139508,1.03919727,25.80840617,0.12674446,26.44472931,8.13498486,1.71989387,24.05500333,8.85763647,0.74546791,23.16918495,0.16639546,24.23606187,4.8706727,1.2588897,23.24200739,7.74670636,0.67324949,24.80209843,0.19698959,11.401138,5.44797762,1.40359156,16.85085587,6.93279049,0.40981161,16.67011655,0.1811724149999999,4.88260171,2.83485428,1.47518443,13.64430416,1.72501407
642.749255,140.17701,176.866081,134.954099,74.64031,75.74153,40.370225,2.18801501,39.77070841,1.19757172,27.07507037,13.30520459,2.94863411,35.91206864,17.7797373,2.67518085,59.01825192,1.45088157,37.21608095,12.54018776,3.37387047,42.29517305,18.29645397,0.67092234,48.16009941,0.6360559,28.39628016,9.43590016,2.34163169,32.6144278,12.69878185,0.99728387,21.21992986,0.4744073,18.43554974,6.140782,1.59540343,20.25399354,5.52296044,0.39229047,27.34684619,0.11352918,15.48989519,5.5082243,1.80044237,21.31480866,3.77549382,0.41507353,16.29605485,0.08309037,7.10889793,3.00312726,1.81185824,9.51624767,2.13587515
604.614103,139.09419,140.189493,132.812691,77.209408,72.463927,42.844395,2.92451779,38.36870055,1.23157421,30.5069264,10.473634,2.77168427,38.01584291,14.80130974,2.20114163,41.91537488,0.9571965,35.30257756,10.34392027,3.0481189,32.72920002,13.69196308,1.11449016,42.28172282,0.49984783,31.51155454,8.40684278,3.39451883,35.05953618,10.54417755,0.7179518,25.59726198,0.16558986,14.03795453,6.36963589,1.56651828,23.4329621,5.32153366,0.37703517,25.10656359,0.11860206,15.66737948,4.42408644,1.82702659,19.69748939,5.24574472,0.57476997,17.35368572,0.15401848,5.82396158,4.50879749,1.63000838,10.29637503,2.50277789
580.301945,126.861173,138.917531,130.115857,75.663361,60.126478,48.617545,2.29917359,38.13453516,1.49667025,26.2857567,9.04149077,2.52633854,34.34505418,12.73215425,2.59538097,44.09429216,1.12189972,27.0226604,10.4737966,3.12001763,34.32813738,16.16134599,0.94252618,46.76287413,0.37532813,26.77326099,10.38053067,3.94821679,27.97128521,12.96183445,0.39519303,23.85033913,0.16860884,17.75967565,5.23504118,2.27063017,22.86656871,3.11730478,0.12578643,15.72502496,0.0573141,15.06205761,3.19982109,1.51865516,19.76388637,4.67393256,0.47513516,17.45819437,0.18312873,8.84201745,4.2487604,1.90152111,13.53738986,1.97139767
572.03707,148.675814,129.69168,97.251712,88.839005,62.000593,45.578266,3.07136011,46.74937326,1.0756753,28.99832548,7.57333719,3.52761152,43.51053622,14.1695946,2.23730207,38.68480919,0.75841816,26.63720669,8.24852308,3.12690978,33.7926957,16.20581559,0.69513984,30.26018558,0.179541,24.71909356,7.11664664,2.92093934,22.89041266,8.46975333,0.54853665,32.57024691,0.41844224,19.94416128,6.73745208,3.18578125,18.0918624,7.34252208,0.26891978,16.42759265,0.19397607,12.87441947,4.01246906,1.00084769,19.88535406,7.33701442,0.1399661,19.17085826,0.24692101,6.25463309,5.14540324,1.73000699,11.28156039,1.60891696
559.282222,132.297546,131.616756,93.245024,99.195897,58.526375,44.400625,1.21018695,29.68735343,1.61676867,27.21349296,12.36199598,4.0191277,40.34482772,15.84379216,2.15075042,39.77023321,0.53952429,23.77189438,9.56567256,3.92522258,38.75548107,13.13797735,0.73724261,29.57784449,0.62093349,19.08056627,6.92263369,2.05328589,24.4684842,9.7840332,1.06414366,31.234125,0.6611205,25.44890894,7.04920621,2.53567567,22.58018069,8.62253624,0.1393779,19.48085871,0.12021743,12.09812309,2.8869509,1.0238582,17.06935163,5.70763687,0.42299193,19.1726919,0.07952407,5.55448285,4.64083216,1.52022075,11.05212666,1.95775465
592.065983,136.353659,140.293664,87.630704,108.386737,69.397665,50.003554,1.65059536,38.27964726,1.34314555,30.76692062,11.97031724,2.40390005,31.99778242,17.94135002,1.78999527,39.07076268,0.82337597,28.55644201,11.05896744,2.26782056,39.41289481,17.31340553,0.37220126,27.42335239,0.57043818,19.81962031,5.79589591,2.78578383,23.84977844,7.01363381,0.85981888,31.37242769,0.72247783,25.86241006,7.64588906,2.79586233,28.72754148,10.40030944,0.40658722,27.69364738,0.06048991,14.24537708,4.70175915,1.03248247,17.02720007,4.23012155,0.52957379,22.02449147,0.16730171,5.8059771,4.885372,1.7876712,11.68977217,3.11339469
590.314084,154.015166,129.639682,78.177843,106.700694,65.906207,55.874491,2.09416341,45.14001668,0.61218329,33.65307704,11.22023833,2.85385878,39.93243337,18.50919514,2.4671064,42.48025501,0.87051187,20.41043263,11.8480531,2.84587398,33.56178727,15.15566188,0.80902204,24.43045479,0.40295245,15.86437557,7.10605708,2.36755438,20.80157619,6.3958503,0.4099984,37.09776594,0.75162756,26.31230674,6.76205057,2.99082538,27.6748037,4.70131602,0.5046767933333333,23.10320375,0.27727639,15.192001,5.26528737,1.50504156,16.14091975,3.91780064,0.5200497,21.42254143,0.13613536,7.89288547,5.34011023,1.12766387,14.26314204,5.17196305
