"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,12282.1174577731,12464.3329303005,27645.1168232241,9773.30128363285,12282.1174577731,5524.7961756591,12282.1174577731,5924.76628556757,12282.1174577731,123747
2,8576.34297956334,8272.60368636151,11621.2482402704,5105.47588750698,5028.84803709791,4043.9221784269,3982.38545330761,3986.63914138298,7261.14018048065,482530.653117981
3,3252.4938996456,3338.54664249999,5497.91824288231,2534.55342205999,2830.75950485989,1656.25607562891,2344.77010925998,1663.54146563459,2071.18336681966,89567.5800853532
4,1312.79017140339,1216.77272616291,1140.66944072511,1801.67340764119,2237.92827908966,996.486735051497,2666.52096354226,1083.47031226636,1055.08718300637,128640.472969654
5,3220.60574191141,5886.9816955943,4818.31269434809,2838.63401849789,3146.3269322379,2844.66830958776,3609.66829660436,3560.12724117095,3678.03507117335,93100.5917086234
6,3480.86774170777,3553.41320403718,4363.52192910292,2548.73284503522,2832.20285253136,1724.68310914917,2167.37734365994,1744.25125716526,2247.28622108051,77991.1701603153
7,6430.10029838064,6180.9502033366,6258.86732807472,6039.22244968227,6011.16085959199,6824.63057387094,5543.09627463345,6999.62854451843,6992.8900783726,85908.3794581444
8,3679.44490533089,3768.66762321294,3374.4468441204,3184.2053756718,3180.72496222036,2276.50125756346,2472.97034381682,2184.08175803984,2645.51543834548,533273.351962375
9,6599.54060729181,7033.96178325344,6833.29057068382,3779.00771201128,3744.39157423119,3982.71918104997,3904.08748214782,3447.20507059009,5852.4619507981,11343.3762187187
10,1449.12400049146,1483.85391527885,1459.60348187812,1888.2190697901,1905.53157334172,1224.25364377651,1334.70600270221,937.554533291185,918.493170808028,39736.169594275
11,2468.16684836865,2259.85500241278,2020.02770986849,1995.97250279194,2094.56877595437,1351.88484915686,1727.92945803394,1327.96426588134,1480.38637915609,50524.6697676546
12,2626.89170580709,1965.20468800853,2366.15966357701,1712.48160546801,1712.02965874719,1612.4420802316,1565.55546501088,1587.99926222918,1566.00857129369,23577.2862330368
13,1449.94917097544,2077.69343412652,1513.58628288266,1119.386434349,1166.46575711087,865.093421589288,922.972517503461,892.377355330435,946.005767708937,15944.1638842185
14,970.883267655533,774.344386030303,668.076563241824,901.978098679191,1021.93495466053,712.748163709941,1344.18028416581,763.796229713083,755.842450768291,62243.0147375818
15,566.643893222149,630.028043836558,410.190964564503,624.276230482929,746.318281984833,367.148811012561,782.242351388545,361.493587345317,362.084643422984,35178.0086054973
16,362.116649150987,360.14468956318,193.823103463852,590.930936809104,723.898801150621,237.288685714558,672.41883520746,209.069049134919,210.19141826013,31243.5535777384
17,1552.43837804933,1896.89159479888,1299.89923632192,1409.67813836713,1486.8567682223,934.602715512279,1487.49627827774,974.521708723268,1009.44999914567,59058.9758126086
18,473.704672627376,457.307245778893,395.220431264023,851.988805736401,916.652971816953,312.531690557734,368.868978781192,277.546006485851,277.453068676626,11684.3131892508
19,3019.82896530226,4358.85639929457,3406.44656745062,2259.07123597522,2325.11592251934,2789.89929033586,2890.08253444676,2895.89736950449,2941.85297662935,22586.9279602096
20,3509.0925557516,3331.41245641106,3150.10748740487,1957.73370020546,1979.28373637443,1882.23169440059,1887.61609929222,1670.88621213042,2083.62084084701,23458.7236143692
21,1012.68151278966,1038.96968468327,890.236661127703,1006.01293522992,1067.86319968121,632.612530179407,739.944846233386,583.180649903533,614.840926775302,23286.8145788439
22,827.832575212884,630.56740621891,660.506095391852,1143.64057202804,1231.85650888756,724.415176736503,985.819344541661,626.094584904402,632.676379400001,31298.4627450401
23,865.467248904886,859.037180252108,891.457611158909,983.077067148684,1145.69357704943,562.444877157572,984.77885065373,542.796639210492,585.227787342523,35080.6108443714
24,341.935364111282,515.40147489676,610.639898325726,750.237486693505,873.196787583913,449.051528570086,805.095216065487,405.411536988529,408.411979681661,31324.6307564901
25,6540.84243974373,6237.45670897468,6423.20541352223,5953.798690384,5760.53969739535,6423.79050496225,5870.37313705464,6483.95786137256,6484.16060588556,19813.1447400897
26,3811.46779084219,3769.15843750312,3974.0927573377,2654.90769587215,2658.50563929202,2236.92059960444,2287.02785855271,2185.64507491898,2646.73546261161,556589.445809436
