"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,529.078334320022,315.851279474137,3050.61405268976,462.091267902776,529.078334320022,164.730182107596,529.078334320022,179.24674616861,529.078334320022,529.078334320022
2,568.550090137098,373.708852046706,1011.9702387859,613.366959361271,621.836302481198,539.55503499467,602.681562708712,539.236616259629,595.878744899922,526.209950046597
3,241.74525130482,442.672684390724,616.200783868523,216.918465826545,209.183185111771,333.933204131879,197.100634592147,371.040101693218,254.62340655103,257.148190911102
4,716.65749786339,813.289616737655,1340.38939159254,891.250702743239,898.066569802206,1000.19362421537,1065.30379917379,1064.93053068448,1111.45109040522,1261.23423198115
5,102.042940901219,46.1219054570408,229.363026369374,129.096317628666,138.453163599269,77.870723293232,136.857528162171,65.7452320453315,89.2914017686294,220.034672494093
6,1173.6106081334,1385.63266648929,1457.57692537423,1214.39705767363,1192.1128165255,1352.97818119539,1307.26607914311,1320.20023413026,1253.85901666759,1429.67815789748
7,212.228135937529,197.152940860684,309.527745476352,232.525082160533,229.535551683249,256.600608877711,268.340673583475,262.509515612001,273.475574061207,365.190080092673
8,220.215741424064,239.656646919751,305.706067430935,176.775311927089,165.971617772197,243.068574845302,166.956687067831,249.892371573521,238.494907441472,276.108042890824
9,280.870694411914,332.151686267779,471.574031315432,377.547735968239,379.204649870697,364.016899834707,377.22815426102,359.585938075347,387.092130867418,449.855528815716
10,376.997462630954,441.116316133101,533.369721853858,384.476473245271,382.173601761141,434.587929866896,418.181293814208,418.667228893951,358.159137000247,535.597154454522
11,291.009769033183,301.523872916456,400.654931714842,358.42445037197,359.433748448775,335.315578729079,341.754147799935,335.197589545641,345.373701576829,46.4834123045589
12,42.9458772196423,50.9845082802435,116.561155938113,60.9152298129425,62.4863371154788,52.4087003985435,70.2707943268668,47.5352044944913,59.496824425306,85.9146656826393
13,204.627553174683,185.204027215809,329.102045394714,265.756641780625,267.543501861188,257.52475178991,277.279910940759,254.950585312683,271.224747811881,432.120728540492
