"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv"
1,13202.5625361113,11880.3914561522,93294.3051594768,10493.5177479683,13202.5625361113,5255.67731132137,13202.5625361113,5678.71658034565,13202.5625361113
2,8794.20572811091,8029.61894169964,38784.0660771239,5296.42943165328,5224.97766038221,4080.09091005759,4056.96378896058,3998.12735832604,7899.87663736139
3,2953.63239077377,3564.91915216885,18702.763381276,2595.97902246148,2981.46591891655,1709.0960632907,2486.64721632188,1742.68204549381,2175.64282667619
4,1314.10510476135,1238.65701758873,3337.22187727659,1941.48842635572,2410.64690500014,1083.94599236179,2923.51848192103,1113.95271399636,1102.97784921176
5,3034.00596595137,5925.21064628402,15032.9584668453,2757.07395205119,3129.37735923462,2774.40120471801,3611.11397731536,3551.02909904304,3695.31106299867
6,3671.76885480804,3521.32683670226,14801.9397211752,2433.02636653777,2710.88708684188,1788.62588059594,2237.58732466498,1813.1499595188,2314.72605348593
7,6585.30248140642,6142.41857192194,8076.39179258542,6152.9903720934,6151.44621674945,6806.83577066881,5657.7234760788,6954.9051144964,6963.53479658217
8,3460.18294508116,3756.11656171217,11061.7024710715,3209.6487478107,3225.39706439227,2271.29031394244,2674.76354154489,2132.6770923261,2923.73447207882
9,6042.33326790424,7280.58183834867,22861.5021491494,3865.28179291489,3800.1061899816,4100.93240123489,3992.50817504192,3615.07593058145,6058.43614360687
10,1449.94917339682,1421.28925039551,4583.62974332006,1849.28469306673,1877.89577073252,1195.08988472199,1369.89907714832,913.697456280715,901.955500216608
11,2564.34130930967,2289.33845648956,6741.78452705881,2121.10816943729,2239.63423326334,1431.59042461431,1900.4013046306,1427.72721981405,1606.64615793392
12,2719.703577671,2006.37481268659,7238.95105637063,1731.53173435012,1748.59384425609,1594.12387105281,1562.06791884889,1542.44251782871,1540.0449168784
13,1479.79682360282,2089.32460852528,5020.76108744788,1189.81409343643,1257.47029601653,923.828608323841,993.376784637928,953.59474575886,1018.87687325379
14,1037.29002259174,795.288464782373,1518.91281822872,948.414098912165,1081.01357760413,764.731909862595,1459.90297594038,809.9780323766,803.550092023411
15,602.061026452788,602.404136849969,1310.17702913863,690.042478650995,829.018916055863,383.797750666036,864.59482792669,364.142348286217,368.328986720492
16,334.950118073095,361.414950407904,608.486418258119,593.975623042158,735.104297784495,239.752571179835,699.919915586462,209.036991010547,209.324353297631
17,1610.61655258607,1848.55672144008,4267.8940022226,1417.83123868779,1504.26508565547,925.760249027368,1483.15605533014,971.010859459069,995.345830970142
18,487.062202847348,451.940398586848,1272.73597928871,888.853001127671,967.816064971352,334.369819804197,402.562660984054,287.885383678317,287.716768918422
19,2952.06188200176,4349.7112501687,9593.10611109773,2135.40944666233,2198.82717327761,2724.37919050516,2833.05501344612,2825.14836944932,2895.77149222137
20,3564.87254193309,3283.0874295659,10682.9480818812,2007.238344307,2006.62886399987,1881.36822216454,1889.25332693628,1692.3406737886,2143.14892952155
21,992.555599565223,967.961935736554,2929.11345382407,933.964740522953,973.360347911619,591.439511738501,648.086718392149,533.066275132595,541.771626175519
22,792.626554699879,599.762296918269,1379.00937725183,1056.64251111021,1142.47038034525,681.661676380201,947.250726843462,642.572180983323,646.125554615983
23,870.091607241982,830.049792601135,2834.99360500395,1010.5648397847,1193.03456808464,533.633817135836,1027.24355040125,506.051385989831,557.942754295568
24,349.101894150971,508.814133546155,730.114922993595,781.691766142363,909.683534066408,459.71970745051,829.496923467437,404.46214248127,406.599638463141
25,6535.8815552975,6234.5344011747,6657.65007109772,5974.13537042621,5788.38801994505,6429.67093827839,5890.4793874723,6483.10523358275,6483.27982245324
26,3533.64073065462,3757.82445682112,13173.7747921131,2542.5394363208,2561.16954535162,2261.20451693404,2435.92107836148,2133.37068644149,2924.62040991423
27,10.2381261849055,9.02297715877305,2044.08328790519,1794.06331537068,1785.3629522101,877.156443626128,996.629044811712,7.09196187473996,7.07995428132642
28,7387.28965535017,7280.58183834867,22861.5021491494,3865.28179291489,3800.1061899816,4100.93240123489,3992.50817504192,3615.07593058145,6058.43614360687
29,1586.78315425028,1421.28925039551,4583.62974332006,1849.28469306673,1877.89577073252,1195.08988472199,1369.89907714832,913.697456280715,901.955500216608
30,2049.51352745128,2371.62785184869,8196.42252325272,1468.86039612195,1497.39770381825,1363.73176998157,1468.04920262876,1362.64079646107,1519.32098354365
31,1216.39506787492,872.411594920046,2060.31968400536,1411.62295110067,1466.49460710871,1010.30334316323,1213.03637708064,1110.41845036114,1111.85999569263
32,2535.74971301025,2006.37481268659,7238.95105637063,1731.53173435012,1748.59384425609,1594.12387105281,1562.06791884889,1542.44251782871,1540.0449168784
33,1527.63931337706,2089.32460852528,5020.76108744788,1189.81409343643,1257.47029601653,923.828608323841,993.376784637928,953.59474575886,1018.87687325379
34,947.601835241485,819.326056265535,2437.78850882895,807.535344778891,816.782721986321,813.581497458024,974.958532531158,873.236330869131,865.959432295807
35,81.8461453056883,81.6036689039991,1000.89027574837,471.633751366804,555.652994905594,192.67081635582,631.264747988423,87.4015268868127,87.2918235344418
36,551.833754179293,602.404136849969,1310.17702913863,690.042478650995,829.018916055863,383.797750666036,864.59482792669,364.142348286217,368.328986720492
37,389.983286616307,361.414950407904,608.486418258119,593.975623042158,735.104297784495,239.752571179835,699.919915586462,209.036991010547,209.324353297631
38,1488.87680299231,1664.51789555536,5277.95888689962,1054.42469967746,1087.86095579617,851.343992633041,1083.92860198564,834.400033826622,855.101575438146
