"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
12136569.6657616,12122571.1525283,30701943.4196397,12044389.9367973,12157872.8803509,11748466.2257325,12460926.6677124,11758557.1534388,12828992.7683424,14438975.7014864
10277967.9257546,17330551.2907739,32036905.1640188,10214798.5288329,10038280.5124545,12847443.6378094,9958356.8010299,12359795.8390721,9543534.32255379,8479729.08560653
4075830.03093229,12337060.4915206,25646919.0143409,3779289.91139527,3604112.9879556,6921583.14064735,3750641.38702492,7569300.24999477,3968723.04381947,4236124.48967043
3100978.3965775,2227029.21684922,21191080.6318202,2986852.54392472,3083691.50382004,2090489.85688717,3112754.35992683,1939417.09658948,2905938.43192915,4387289.76845193
6948099.14934446,17993478.1672692,29597784.0373039,6765981.31176219,6643498.91489983,10802768.6567973,7201881.4687687,11038718.148058,6744700.52566,5598972.29530314
2077951.13450097,3084716.84025347,20921355.1162398,1865360.51483833,1884151.69132573,1935639.63111807,2283758.67967196,2121114.87416337,2391548.50227635,2823280.86209481
4795166.18115297,12109798.571231,25662371.7162742,4599082.45078472,4610285.22330378,6852124.9489447,4547014.53308606,6664655.56854154,4348767.23884665,4010049.57192052
2522785.45583273,4049074.7884784,21380410.0641032,2321269.80879237,2331046.43977508,2352823.00441877,2526113.27126513,2456851.9930416,2348147.30228856,1400385.0471385
2717445.26109809,2967378.13309974,21082093.7987712,2545854.2807375,2540067.5004618,2155872.74334094,2219476.9260694,2209667.50327344,2387608.55441982,2633056.42225818
8637326.90067277,14788840.6996391,29550520.5070911,8517300.4030989,8364483.63883346,10755444.4651719,8109369.08472417,10116159.6664904,7771288.47055812,5706186.52540794
11131377.0842472,30568762.0443205,36468089.1566564,10683624.2357214,10571636.3945494,17640419.3787219,11600755.8294738,18527818.4093157,10549033.3433969,8966904.82031217
3346061.69325421,5779016.74295309,22840592.5326941,3176136.83145791,3161976.1576268,3668067.30760372,3020789.69958705,3540538.71270854,2751117.27201344,1952854.05599743
