"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
11732880.7109687,11897718.8681749,30043034.7796599,11570649.0566035,11594567.1072828,11211485.2399909,11143091.3647004,11434613.5617615,10806483.0123053,11949113.8987078
9501947.40912457,17998234.4145602,31601283.0098577,9423291.75177199,9452368.4697893,12583580.3261555,13000387.4823904,11867644.3374777,15693617.0061124,8042109.47158164
4354915.08778431,13180855.5885547,26201824.7205517,4060479.33392151,4162757.87220901,7085424.75090324,7656768.21430242,7190487.69130078,10856135.5611212,2896942.08013148
3075826.41728626,2311551.35300808,21577430.3778259,2935418.71559365,2912055.42939287,2109629.88310624,2032405.2168167,2064401.44127604,1929671.51382975,10035324.9167783
7141369.9563633,18531574.0311957,30048047.7704855,6912955.81624857,7066427.33342622,10702782.8008196,11418386.8675431,10302293.3913309,14979511.2095788,3068296.27277524
2195571.95128613,3076544.34093981,21353232.0624968,1900637.86832748,1916651.90214791,1831736.44484646,1923768.45769642,2069683.56616136,2513268.32948703,4766979.98900775
4805607.81019816,12418880.8961705,26166777.377231,4550939.13234016,4577211.25705284,6543547.0751743,6993202.76501562,5852296.80324952,9446436.56457914,1715232.23544344
2921543.20622255,4297860.3577792,22129225.8530091,2614474.2222703,2664317.86092782,2462067.42453055,2602798.41807416,2425154.64365138,3589137.91766407,1852885.85683229
3209280.38390516,2660403.55621095,22300588.8116379,2962021.54572989,3070529.87498479,2142531.61428117,2199334.59610938,2306021.38194311,2267385.86627176,2726232.94078859
8719918.05982859,15170435.5771891,30655277.2241048,8500162.86155889,8591779.79820197,10463558.9280132,10773615.0164236,9067676.43789676,12239948.5270225,4852257.66339818
12552997.4915335,32351936.901134,38788553.5525139,11959466.7724018,12114850.2126763,18273787.9103923,19508080.1754135,17580808.3813187,25745489.927798,3776826.29123306
3690563.34763745,5729621.08977692,24112469.5969295,3405286.94730495,3362201.78189599,3523411.47378271,3654361.69868511,3071584.83716462,4490206.20369081,5689400.70064696
