"Base","EnergyScore_Opt_1","EnergyScore_Opt_2"
12136569.6657616,13325933.7760418,13257645.5941909
10277967.9257546,8651291.78890787,8675113.62639363
4075830.03093229,4251442.18715472,4227332.49297298
3100978.3965775,3920187.26679427,3889387.47132651
6948099.14934446,5501884.83337832,5502097.51381837
2077951.13450097,2497541.60011433,2452833.60623065
4795166.18115297,3917598.95110127,3907009.60319971
2522785.45583273,1367136.22555078,1383466.13802018
2717445.26109809,2241833.82354946,2232058.99271802
8637326.90067277,5915562.40365169,5939063.57209474
11131377.0842472,8944231.71940124,8953707.49525744
3346061.69325421,2071594.64924339,2079483.53535859
