"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","EnergyScore_Opt"
37909998.1602358,49816011.7933234,194506919.152023,35362792.814607,37585129.7093604,31581811.1100278,36265291.189911,23737729.8600616
26502804.0216882,43161526.4715213,66240924.7585883,26299099.6383806,25106878.2390009,35060754.777723,24896145.9153162,25431644.0397765
23707667.7786122,34400406.6395387,45003902.5167788,23494093.0235169,23015034.8365703,25982240.3259424,22142981.4960522,22291985.9624108
8397905.38186545,11036751.6638687,53801624.5165909,7493759.97950727,7771810.11142649,8894974.42665295,9473909.28313636,5335488.27026984
14712577.1075242,18661802.9367924,39997932.6718849,14300221.3866751,13157393.0367525,18476523.2150301,13413795.1176606,12758148.3722057
15894248.0438688,11539727.3966265,33386330.3345652,15828869.8779874,16135633.8935733,13956811.8305207,16203325.2582488,14978038.4026637
34316059.4393181,54140633.9271737,66848297.5115698,34114234.6044525,32381884.4607026,44273645.8657395,32110639.4338311,29887088.3482348
10258425.7134233,9353957.54038873,51495470.7609728,9740059.69226209,9107669.93964584,11214985.4734867,8516133.3515979,4294176.39804483
17620235.4451008,20552925.9494302,44250516.2058965,17402346.1892465,16721133.121873,18677472.417683,16163293.2779708,14210942.3522306
29613165.6697904,35217373.5283825,66282932.1808084,29338129.0511074,27488559.2595906,34849398.770741,27431659.1545826,24408833.5807092
24616464.5141013,48668220.6292725,56239802.2584891,24096820.9973086,22331927.9079157,34308113.3435556,22581267.1347528,21179124.63286
11538310.0337652,20707110.6124694,30983745.9305617,11286028.2175672,10258835.0799432,14598457.3315178,10207475.3992568,9812061.77548204
