"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","EnergyScore_Opt"
37909998.1602358,49816011.7933234,194506919.152023,35362792.814607,35509894.9534143,31581811.1100278,32322106.0132224,15795370.9757994
26502804.0216882,43161526.4715213,66240924.7585883,26299099.6383806,26257295.1499274,35060754.777723,35128138.0546965,29252537.5223997
23707667.7786122,34400406.6395387,45003902.5167788,23494093.0235169,23534834.4501081,25982240.3259424,26301768.5691499,9430963.07695033
8397905.38186545,11036751.6638687,53801624.5165909,7493759.97950727,7493003.63613488,8894974.42665295,8863928.07675394,4511787.44964853
14712577.1075242,18661802.9367924,39997932.6718849,14300221.3866751,14328452.2725164,18476523.2150301,18594146.1570285,13889661.0967959
15894248.0438688,11539727.3966265,33386330.3345652,15828869.8779874,15856082.8533514,13956811.8305207,13848416.0700074,3929054.72860614
34316059.4393181,54140633.9271737,66848297.5115698,34114234.6044525,34231477.7104861,44273645.8657395,44711195.7765571,35014361.7081146
10258425.7134233,9353957.54038873,51495470.7609728,9740059.69226209,9752176.206134,11214985.4734867,11128965.0662745,3656112.7151643
17620235.4451008,20552925.9494302,44250516.2058965,17402346.1892465,17422914.9823791,18677472.417683,18600780.4050928,8678721.05286307
29613165.6697904,35217373.5283825,66282932.1808084,29338129.0511074,29392651.5679713,34849398.770741,35389363.9461,12859905.2945558
24616464.5141013,48668220.6292725,56239802.2584891,24096820.9973086,24189375.1878287,34308113.3435556,34645903.606029,26067669.7041059
11538310.0337652,20707110.6124694,30983745.9305617,11286028.2175672,11355278.747254,14598457.3315178,14619316.4226915,8866587.24801519
