"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
652049185.358242,850204615.490399,23004486944.9072,621543624.351771,746054972.4397,462265501.784107,764325324.087639,482541400.560141,819978057.756556,759578727321.46
450574591.887244,167542016.691865,26659299159.1177,356679768.705624,367600180.922775,358791811.278715,359792560.170057,366049532.227552,402577203.720068,-1033997502849.95
880849393.983844,1044508106.70943,28222132484.8947,873757474.880327,891875950.674063,827374409.240219,841196095.374236,769717214.261875,1002800713.29289,-565173386831.684
982876460.013533,548924891.892049,29025972153.7553,967759195.537906,739985639.971938,1335287900.01626,644256821.727935,1276846236.43062,602040650.367849,-1341124510829.42
1373757307.81646,640547844.906777,29819613501.2333,1148988094.86211,952000191.370654,1462148035.13105,781788864.552959,1391783833.10055,1028152129.97542,-2361807746922.22
1027858712.13538,1010338703.35862,29911671220.8554,995114065.712794,750302543.829845,1388826615.43209,662197834.729419,1316989262.69355,721943401.922313,-1232164667784.14
854270278.903674,778806610.300303,29860045433.8896,774920005.106598,548497694.399417,1166356196.16691,425037147.174869,1046671201.15179,141298889.978547,255794390135.328
1235935827.05299,1225785727.29936,31049371449.9021,1118888065.15931,801933041.58444,1771751356.06431,771481338.834262,1649873107.35458,580462455.521031,-188924354038.56
4562279931.37557,3948116934.25203,32880291462.0322,4346744656.78052,4704644575.19362,3719445472.59984,4641494373.42283,3755160644.99205,5338342327.11398,-920305378617.46
1748799572.87816,1691103771.49199,30971686442.6985,1577487919.17651,1745777739.13442,1425128758.71705,1701518732.91871,1392424056.11175,1680723084.34702,2204415213665
4018031466.36374,4509584101.71161,33590043056.7533,3896052863.3841,4187690154.24897,3749726202.89377,4452245258.68108,3894166162.61131,4468670679.1424,816022586944.52
5089019478.05873,5489150910.35072,34716919864.7749,4962131748.69772,5274269968.46627,4662931882.724,5628171846.15331,4795692494.80074,5612985606.39425,-50812602829.404
1507333387.7756,1934295426.6996,31164552051.2152,1344073704.14234,1541010652.5416,1214339541.41239,1608118092.30588,1085116752.71736,1334058039.57785,-1844921470601.74
538821712.102965,501754278.092758,30571379661.0478,457928954.411281,387478156.165474,639816040.005492,285387281.321173,609552840.604299,248594128.165619,-1016048722070.81
977336629.704824,526849427.224746,31013806397.4345,810580506.938446,737694099.117998,920275737.858059,609746053.925833,887828812.692117,824041194.578614,512482742740.708
