Base,BottomUp,JPP,OLS,OLSv,WLS,WLSv,EnergyScore_Opt
960595985.2,1127831602,8385165089,832448356,841784772.5,928247475,828295524.5,1.08154E+11
1050846992,2298042499,14803794555,915870833.4,835286957.8,1159968288,897576888,-65045802939
1657993772,1911755872,13923084341,1469520102,1634668668,1042630095,1719806802,8.89076E+11
1438784132,2962797437,29192894056,1448156818,1338928455,1327956195,1438100264,-5.97249E+11
1717753319,1906891738,37623959508,1626999293,1847669493,1083514032,1995836846,5.67349E+11
1970116553,4583380884,36504657730,1886014639,1864040797,1617166997,2025056550,-1.18426E+12
2029273099,3210170000,26394789446,1676758699,1709389341,1305752608,1743320520,1.72557E+12
2522133038,3478858596,20522617227,2329369851,2541834363,1550157769,2696778939,5.48379E+11
3202197887,3916325773,17685282799,2982221013,3007031107,3372149625,3054681003,-3.09586E+11
2283253238,2109756637,15959232552,2050612412,2048436803,2373556170,2136789291,-5.09732E+11
5863634999,4704515997,24349348474,5639880946,5585235579,6045132888,5281053207,-2.52555E+11
7036292782,5583438611,31470006223,6868939640,6737916068,7148427256,6466400952,6.06125E+11
2250879765,4369302804,36465655575,1950423071,1958045277,2363499844,2175288180,7.6593E+11
1484158082,3658670320,43224165457,1505572255,1533932774,1380483802,1530393559,-3.59465E+12
1922795340,4128490943,45158622432,1610188048,1695857176,1357688456,1687381860,4.07382E+12
