"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
11732880.7109687,11897718.8681749,30043034.7796599,11570649.0566035,11686386.4244786,11211485.2399909,12021920.3275484,11434613.5617615,12480532.9756017,13532973.9407351
9501947.40912457,17998234.4145602,31601283.0098577,9423291.75177199,9161611.56248042,12583580.3261555,9043996.27784984,11867644.3374777,8518741.70354661,7907433.52474375
4354915.08778431,13180855.5885547,26201824.7205517,4060479.33392151,3904463.56666972,7085424.75090324,3983898.04412978,7190487.69130078,4135435.27664372,3933338.07726953
3075826.41728626,2311551.35300808,21577430.3778259,2935418.71559365,2936690.14142563,2109629.88310624,2928312.00538683,2064401.44127604,2745577.51804023,3666808.50769907
7141369.9563633,18531574.0311957,30048047.7704855,6912955.81624857,6926306.47057358,10702782.8008196,7496805.86064082,10302293.3913309,7072013.89896279,5647243.50195831
2195571.95128613,3076544.34093981,21353232.0624968,1900637.86832748,1923680.18260683,1831736.44484646,2298309.67922857,2069683.56616136,2437708.1953296,2694644.88582808
4805607.81019816,12418880.8961705,26166777.377231,4550939.13234016,4602750.47978292,6543547.0751743,4453871.16438108,5852296.80324952,4210490.88851329,3635374.61689054
2921543.20622255,4297860.3577792,22129225.8530091,2614474.2222703,2635019.12212773,2462067.42453055,2711885.68008904,2425154.64365138,2514525.64399738,1586991.84811523
3209280.38390516,2660403.55621095,22300588.8116379,2962021.54572989,3001806.48752077,2142531.61428117,2603550.73825469,2306021.38194311,2874234.25215316,2924342.47616599
8719918.05982859,15170435.5771891,30655277.2241048,8500162.86155889,8404152.64726535,10463558.9280132,7863563.29975006,9067676.43789676,7392704.85485285,5521117.23622511
12552997.4915335,32351936.901134,38788553.5525139,11959466.7724018,12180209.7864684,18273787.9103923,13140065.7571257,17580808.3813187,12280246.0230221,10861979.5639883
3690563.34763745,5729621.08977692,24112469.5969295,3405286.94730495,3406042.13012033,3523411.47378271,3084907.21943463,3071584.83716462,2781179.76136978,2054264.58073622
