"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
12068156.3029824,11989930.9838109,30443913.326622,11946554.8261388,12101300.8030034,11560893.3038449,12370005.2935977,11551237.6006943,12737001.3841856,13709651.2791998
10300299.9795225,17208310.5112562,32047551.9867976,10263529.0176744,10069536.955283,13000023.9187337,10048113.8837365,12611144.7071896,9641968.5419397,8845155.16301775
4078731.64351036,12846040.8464763,26177639.8580109,3781167.32032128,3570783.14756061,7057057.95152702,3712102.84555881,7722188.39953215,3916165.41099003,4116214.16499871
3085152.6429541,2289090.80728119,21610189.7962825,2979106.26482163,3029127.52267734,2163450.54506356,3034163.15923401,2019934.95188998,2825166.12712035,3765358.63437581
6929630.79955716,17807416.8090922,30047438.1740997,6756949.74297451,6641959.49232124,10749837.9797606,7204776.68460193,11016345.5372951,6753340.07383442,5357722.25670348
2033825.68622716,2898456.35743067,21273478.8791219,1810064.5605055,1849018.81872754,1825632.93026897,2242931.97651851,2030115.70450809,2371079.4292985,2687583.92432454
4675661.28177136,11884810.4584281,26185688.1037352,4499880.40040075,4468177.30353293,6665173.38465689,4377108.508828,6510834.65152755,4184215.54182572,3637673.41560258
2530359.80728624,4253323.59136662,21867563.7526335,2310475.50294344,2358482.16284534,2331829.05543588,2588718.72323332,2456391.05772395,2396248.61547538,1620619.39796645
2714432.7711852,2609296.60083492,22029738.3927943,2544680.33331993,2583201.86276196,2038209.19104886,2298343.61546301,2079787.09647746,2480028.54467611,2483931.23539165
8572794.20035397,14839805.262361,30752555.6554348,8441408.24728878,8243325.91168118,10757195.4545935,7912039.99198786,10129027.2950099,7551787.52209067,5694355.40575877
11464073.5061002,31782060.6570558,38452280.5545182,10926505.7541579,10815804.871882,18172159.5494341,11834331.4320012,19090214.0222659,10726074.1271804,9321977.7032118
3179308.10919716,5611795.99472914,23769297.218041,3017382.6310921,3003096.74890138,3454463.96632978,2862412.42100091,3320837.68344167,2592823.15049275,1862505.59767655
