"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","EnergyScore_Opt"
181576765.046365,164226653.152579,521296968.241607,178782807.771408,181392922.193756,161714147.070352,180660360.569128,202801199.028106
6722973.39459088,17775302.7143519,106089156.057704,4515960.88629906,5766409.31719835,7180333.12213422,5881533.65290219,31231076.0516964
25092038.2680147,31869674.4212263,66298427.147895,24944982.3980079,24508476.3132309,25670545.4281871,24114725.8630057,23983691.6692302
18462892.9498081,17612679.8282412,76761456.6678535,16860954.6969084,15182151.1855302,18145042.7411171,17283344.1198715,13410575.8655229
11735733.1372586,8576697.92459731,56330450.8601616,10946098.6646581,9904636.13189476,11944691.7984487,10857723.4709511,8857605.64798931
10761611.5215642,5381271.45865636,44662565.8684611,10557209.7460991,10786681.6383286,7854508.63177186,10911021.1309827,11412968.0572945
52243692.8671169,48317186.4805294,87854962.8189536,52067317.5227378,51666396.7729814,48202127.0478322,51470878.9667597,49543205.9952765
9816751.44202183,7708766.16359842,49183322.5926179,9567793.47814561,9390194.19289244,8661907.54985486,9242570.597185,9285714.87031746
18799523.2066726,11351607.423372,48946514.9811507,18619470.9875093,19203393.5699216,14956783.9147879,19123824.7205282,19215278.7192475
53403640.0369912,45055082.6735158,89453297.114645,53081470.8395022,51129490.5717904,54294268.2710011,51658860.399058,48532804.0532374
31691470.0019131,22838327.554546,58010290.1019731,31401613.1024525,30249609.8306493,33102679.3123103,30182183.9014197,29063060.0676215
13063402.3026297,6839868.71795653,32120822.9201235,12911482.4015756,13178469.354884,10634797.4725233,13233007.8405147,14663328.4866395
