"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv"
37122553.7287311,44158087.7647238,267158438.116928,34443499.1677802,34437542.5478761,38896838.0109464,36120357.789299
31381154.959664,39703430.4952858,70661127.1455023,31050701.4082546,31921794.3231217,32853401.4969697,32192238.2790659
24193670.9099207,28804146.219997,41093369.6175146,23718713.7321861,24519796.6465482,24219911.3212123,23575460.0631432
17083966.731563,15440347.8513664,56383745.3840655,16422787.2984404,16696799.8651255,16235629.2423753,16869168.1359828
20943435.3461307,21616564.0077464,47410392.098017,20627761.3336931,21229066.6803313,20903511.20638,21720223.9420412
16099477.6162612,12483527.9444455,35021426.848326,15812285.560061,17248398.5461577,12324829.6897244,17415741.1723585
49157346.1013043,39185349.2167237,72654772.0162138,49072802.9502788,49296655.7381632,45725510.8780443,49295670.5098246
9986253.3928027,8607177.8720488,40712115.0415287,9573570.34581189,9180685.46586448,8576746.44995401,8879501.8928693
14938075.1267464,11274734.421528,38620707.8619148,14651506.467326,14408499.1479513,13239163.6467188,14308059.5523614
52841136.3061697,37484732.0603081,73735450.8457201,52694125.6917266,52004834.7985042,50013490.8800359,51664631.949324
42483238.7763343,43900153.8048248,57921960.00255,42333273.5425199,42448222.9463898,44011880.4388122,42513923.1742966
17138281.5041284,21291219.0173344,30095866.0963515,17075459.9737295,17233051.0878463,18397112.0310993,17296686.4169956
