"e1","e2","e3"
13170564.9358596,13154611.6954354,13532973.9407351
7687975.84792737,7691342.76124397,7907433.52474375
4032715.20900475,3912541.54777727,3933338.07726953
3732698.85062565,3687698.06352694,3666808.50769907
5742636.7624927,5778345.82832602,5647243.50195831
2611141.33827684,2628076.43390394,2694644.88582808
3607457.72758184,3503031.47269076,3635374.61689054
1664132.90098503,1879110.92777442,1586991.84811523
2567838.6591159,2673520.79751775,2924342.47616599
5438059.90536715,5328796.89025995,5521117.23622511
10813659.1442046,10960671.5369075,10861979.5639883
2127802.35864047,2128036.73678435,2054264.58073622
