"v1","v2","v3"
1372590004.0311,1365801727.08507,1404500922.07499
796086449.840488,805725102.7066,822790698.82806
422998034.821129,410067697.01378,418123367.372105
399765413.049098,398329011.95223,398094175.410627
596560919.544076,599600654.181078,586583766.728769
256762603.71117,252087166.491115,260344197.371614
399891261.530256,392120672.983576,404752827.774958
135339332.191647,139721520.21868,123749432.772669
259237638.119488,267034694.511639,301444985.190385
585516366.3746,569172582.618677,591357640.806866
1033452392.12274,1044655828.9434,1034629714.94221
206490055.050565,204777423.171232,199140186.619419
