"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1245814078.65375,1270491720.64927,1208531566.78998,1227242834.35394,1234602139.00694,1205615948.04747,1272328906.25352,1229502834.97288,1324049514.22988,1404500922.07499
915801042.790304,1783449217.35221,1255485882.58276,946910574.978004,923258897.169445,1250780691.6429,914215412.46494,1177192731.70695,858490385.054924,822790698.82806
394838485.087302,1290386832.19031,710212027.986612,403425231.642498,389432896.555343,705843666.564782,402337086.694078,715145694.721805,415153167.22969,418123367.372105
324588854.12611,227424737.321449,216328819.663254,299095631.212043,301378824.392439,212902504.230416,300326827.7736,207857670.288396,282000689.411422,398094175.410627
684612685.359255,1840281742.71674,1079413950.03134,701912121.292021,704424628.106589,1074975052.18362,767969190.959954,1035654058.90354,721641654.484752,586583766.728769
218802553.820946,310393313.974537,191439371.314335,186219129.038081,184595100.438919,189106403.356956,222609580.393396,211881310.341918,235890353.355913,260344197.371614
471144141.527745,1231152045.45711,656005157.066789,465646608.308867,478127800.907078,652919332.04025,469580267.484376,581384916.295827,444841890.319309,404752827.774958
301169835.383548,441044415.329447,264193703.605759,268237520.588298,265537743.761966,261863221.759866,270252299.648985,256872632.065234,248450400.661005,123749432.772669
319231844.366999,256363774.162487,215151180.359088,284194218.192109,281979654.561567,210922688.285956,239109716.278061,229835367.400555,265708535.852578,301444985.190385
858838619.978514,1508934400.32035,1062225798.11513,864109644.651715,857034868.66208,1055142631.84454,804871925.97142,912488314.073773,753442374.572676,591357640.806866
1164815862.30215,3213643224.38606,1835918834.48801,1181417533.06715,1195011819.55327,1830576094.18413,1306553650.47703,1762156037.20764,1210024346.93123,1034629714.94221
364579810.415361,573944923.778614,361101772.927992,334168914.381079,334798860.911598,355863081.61608,308411749.454944,310511151.638324,275090928.674516,199140186.619419
