"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1245814078.65375,1270491720.64927,1208531566.78998,1227242834.35394,1229117925.47527,1205615948.04747,1198188383.6463,1229502834.97288,1163457859.63993,1281587794.6278
915801042.790304,1783449217.35221,1255485882.58276,946910574.978004,949645600.827126,1250780691.6429,1291355994.0414,1177192731.70695,1556104598.07512,811028264.392004
394838485.087302,1290386832.19031,710212027.986612,403425231.642498,412934948.404856,705843666.564782,763232399.407163,715145694.721805,1078998762.54669,315052256.771769
324588854.12611,227424737.321449,216328819.663254,299095631.212043,297326262.389731,212902504.230416,205527583.168514,207857670.288396,192775092.521062,989664467.325
684612685.359255,1840281742.71674,1079413950.03134,701912121.292021,715877175.669834,1074975052.18362,1144481344.69386,1035654058.90354,1492024338.78097,315593764.91257
218802553.820946,310393313.974537,191439371.314335,186219129.038081,188243064.560178,189106403.356956,200410184.504713,211881310.341918,264363733.319577,478652949.91078
471144141.527745,1231152045.45711,656005157.066789,465646608.308867,469321262.254159,652919332.04025,697490493.410612,581384916.295827,932504304.617473,180291375.066135
301169835.383548,441044415.329447,264193703.605759,268237520.588298,273037936.70157,261863221.759866,275933930.89443,256872632.065234,373911372.910363,189007997.512538
319231844.366999,256363774.162487,215151180.359088,284194218.192109,293501763.250857,210922688.285956,214870971.270748,229835367.400555,214582022.082497,264292108.183858
858838619.978514,1508934400.32035,1062225798.11513,864109644.651715,872656530.154498,1055142631.84454,1085050547.89845,912488314.073773,1227332576.60815,480889260.313718
1164815862.30215,3213643224.38606,1835918834.48801,1181417533.06715,1195697772.84382,1830576094.18413,1952795980.98155,1762156037.20764,2562796214.62964,385365524.184353
364579810.415361,573944923.778614,361101772.927992,334168914.381079,330259339.813542,355863081.61608,369396261.561331,310511151.638324,455285618.848822,556633732.704337
