"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1281294262.29868,1280209303.58487,1246206816.49497,1267839789.54226,1278925349.37263,1243047753.94456,1309231938.80554,1242351112.92062,1351232424.69351,1423925117.51685
997621139.231683,1703415063.40944,1294833878.43979,1027517319.17422,1010475770.58797,1289854089.8439,1010833086.22467,1248718713.13039,968413065.327186,915238382.48824
363898771.185983,1256992894.05612,707304597.257348,376263739.546966,357063895.90893,702794007.09438,375645683.040072,767210646.133326,393900158.28758,435952573.727817
325408052.74588,224822157.499999,221847588.456479,303358646.559005,310433030.100973,218210281.965925,310862078.383277,204127011.586646,290063912.456133,412543088.9088
659691795.232999,1767033213.2565,1083223801.98287,686290345.934474,676319513.093746,1078615410.75421,738571218.393512,1105512320.04932,689185145.508037,558322916.171077
200982385.854218,292658815.814259,190786010.578644,176875255.369263,176848518.681654,188329066.204622,217223441.936084,207320463.17106,229319315.126406,257440712.892752
454066360.076577,1177015506.31571,666952447.126122,459695702.837501,463983003.249091,663831430.150277,460837986.602997,645632504.822073,441436483.643591,405636683.968472
258705003.078462,436231368.374712,250299170.747869,236248037.335921,236319600.736692,247949185.151814,257319145.764219,259602718.389474,235857105.043879,123759979.9795
265619605.174163,252324709.667877,204299369.892402,241905783.741738,239664560.053055,200142561.839253,208899537.616672,206410340.400168,226399662.566255,255013795.946574
837130909.92567,1475719198.98101,1089664341.96068,855429523.898033,838208864.49679,1082413905.96307,807855447.337956,1017254220.31644,768510807.932978,609169017.922818
1045448014.52617,3156399009.61734,1825314351.97095,1080439144.25819,1061996825.74075,1819977332.62292,1179016583.66822,1910449991.38029,1055896034.32221,886605825.269798
307388331.015438,560728136.908635,352510016.421431,294526101.674222,293906739.195197,347205051.275752,285163144.020624,334055091.426955,255277839.326974,183060263.468328
