"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","EnergyScore_Opt_vsv"
16078099422.6859,16183808892.3123,15499911128.5928,16451890536.3678,16101455212.8885,15904937784.9262,15886330358.0759,22799099662.459
1083052335.13451,1824189697.17744,764077478.459814,815553989.897107,1055000013.84968,770392034.54242,1009446712.98507,6790295629.26629
2453013809.69855,3103671449.55684,2532042666.50748,2447484294.28095,2410769078.39922,2526947286.28286,2369097708.30014,2595596403.6902
1865512782.38462,1770473778.42677,1829129849.73566,1699818469.27595,1552865153.06657,1812707863.3847,1769337523.88197,1581854287.85233
1171740818.54771,864601050.947289,1176316499.80927,1083281158.67017,988442270.18091,1165118992.6254,1081423751.57767,967798086.297119
1084048775.4973,555049917.62824,784499444.658432,1029149674.59237,1044686734.75866,780736320.759125,1056283411.74413,1019931666.83095
5175836093.46013,4730147587.17447,4733822549.80556,5110575572.26067,5084920456.21014,4720337938.99067,5075936383.53777,4928843222.67487
956380716.569471,753571161.568483,859356266.259136,925781155.166642,901410538.875305,848202444.005317,886109043.051832,857813602.543685
1838437939.85715,1085986758.48076,1446621356.97184,1780136312.81536,1832278514.64841,1438076350.65574,1827317427.34846,1852862841.0667
5265333145.20636,4468076049.38832,5387288758.55433,5250873646.12966,5063844574.25557,5375970917.64022,5128943784.44332,4852209535.90614
3082366455.36361,2251361854.60312,3279745300.20126,3092832007.55723,2972389802.78066,3273152653.89942,2965976814.24183,2813331955.1867
1318246299.60474,698407301.474966,1056327913.55463,1268526123.47058,1295512012.92175,1050374827.82831,1302946482.7605,1430398076.76188
