"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","EnergyScore_Opt_vsv"
3556910796.57205,5016495939.64055,3253414006.45445,3361342931.05505,3386733613.22152,3226983241.99731,3310493336.63522,1649115116.17095
2525173402.60902,4238214659.26195,3441499618.98431,2608588736.38311,2603904752.62734,3439271927.49919,3444496804.61513,2882212953.6959
2302778902.72674,3366402387.58692,2564463592.87511,2321463052.80839,2324779011.73858,2560145566.37523,2591970997.42085,968339838.898314
884210843.214529,1131071104.79112,931768150.871251,803813305.416458,804329694.976624,920846867.783699,916104172.51599,483501760.728667
1387923458.69129,1805817754.69729,1804318644.83107,1405978635.18306,1408712279.38581,1798069317.82412,1808288603.63532,1348600009.20026
1585598727.45498,1134508921.6491,1386158027.7042,1558346468.75158,1561170011.3619,1381628701.91448,1371970575.02709,404878260.73944
3256305871.29608,5303747746.96037,4365105519.26413,3375074434.24239,3386642659.58383,4353489349.45465,4396101169.04618,3424968011.69256
993324390.231949,919562543.691283,1124812561.71196,960323558.907208,960752160.921318,1115386791.05444,1105864172.42377,427557442.934363
1670882769.59003,1983074349.36109,1824876703.08919,1680064408.52189,1679369098.6017,1812993607.029,1803575323.29391,834776436.997272
2901417477.13913,3504916343.5893,3483868448.57653,2938357976.08945,2944310190.92278,3474327901.0518,3526561644.8194,1378240556.04551
2252813663.91092,4796002637.39342,3401911595.93446,2355226301.52841,2365441921.57324,3395548368.76078,3429036572.24924,2533784968.10952
1084199697.6305,2046662141.89657,1442127133.56916,1103346479.87604,1110494163.05293,1436802628.94765,1439503436.57149,904329907.893998
