"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv"
3075857584.73211,4497707453.57901,3954733473.77761,3109053685.67668,2957945459.63955,3927623139.69172,3061102580.77989
3145472424.35599,3914904073.54026,3241990673.53701,3092071961.46416,3189258988.72729,3239989999.87826,3238161200.52629
2371052873.26453,2813950778.6767,2382179447.90685,2326533287.47502,2403633858.83274,2378001198.5962,2312633980.74555
1802389947.26333,1611872274.02256,1718204909.09902,1723165377.42154,1755233289.36818,1706002382.71037,1779746236.60437
2059035744.15659,2106746156.09867,2051727119.76448,2013138924.70363,2070824329.4865,2042332405.73602,2124810383.39603
1633574784.76035,1231947822.47028,1227696920.57511,1548769094.08149,1686473427.07895,1221745356.5709,1714258934.23313
4870312742.72096,3864519347.88646,4508891543.14613,4818235218.36829,4844267408.28858,4494688069.9474,4855280938.61812
1003246229.70955,843794245.61136,856712152.945748,940558302.250666,899281502.233802,842692489.493435,866553970.368598
1455843880.68846,1089150006.96355,1287297602.28013,1417987017.15589,1393427457.53077,1278760076.33244,1377791381.35612
5276620136.27448,3720071240.90679,4977799295.48599,5230765130.54335,5164788580.58513,4967824828.73067,5134609281.78368
4166972971.3361,4330007828.89556,4360311252.16759,4182584705.55668,4190012314.9558,4355138213.55394,4199182053.58349
1668897035.74768,2092694302.81095,1815233147.19624,1677217922.76695,1693118066.9165,1810579957.55907,1702005010.51345
