"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
604214804988.171,615498423787.072,610149821994.487,314210266417.336,321472044317.973,281029939304.61,301778669096.37,184428903506.192,375307913602.645,2849716781499804
679289640310.464,637146844599.947,791030878927.736,340776374333.835,342513777511.569,305916932402.772,307974585039.349,196052548210.614,391669749100.312,2871928253397061
779776987832.492,788733675780.016,1041828037720.56,434376044438.19,422011543957.032,409056556524.372,374299974026.013,285846108546.519,486361619815.19,3187175001057722
861778468416.448,829665883467.464,1252453236756.58,518826438727.413,490038140829.884,524746781270.303,434061972043.161,396858475387.626,511632052450.785,3119038688271009
903175633137.817,799331658831.385,1340730544032.83,542210043322.096,501089550177.454,558862767171.481,430120499839.732,426459766518.737,544998121751.54,2840710444668574
883355047464.318,881817821631.728,1350212037298.28,532169494778.061,498365504904.529,540820406295.462,435513434129.808,410305615198.065,545084455529.988,2669274268947738
799441406572.347,785897137937.861,1189809369676.97,461584455604.589,433569566286.153,469384162465.284,382474381071.879,333942183595.826,446374989044.012,3106948922009255
934126459236.072,903775165718.606,1479251741754.48,566570911981.751,522730994096.061,615664630619.174,476905146958.707,472345563568.939,562360283654.193,2942069418586111
1004998414965.84,891790510662.702,814390401155.72,831566895166.785,872574140130.359,786825413882.076,896901445509.034,699871766904.403,889271566125.083,2749266931704048
854455125611.287,875908662041.091,912276956435.209,540614840720.4,564218971247.471,490235858220.53,539653190697.301,371498187842.387,620080607501.271,3033842192473422
1317743925589.21,1420600546006.48,1257293625028.55,1004547646266.1,1041711457279.69,952523635872.991,1061359849051.4,871048215541.642,1155935268979.56,2868236152649715
1529270805670.11,1617049319425.25,1387085635775.6,1189788770658.08,1242319292667.01,1114377257136.36,1276667659137.92,1038327403851.64,1380609939228.6,2989966591301183
864309174703.839,829596220562.708,868729460180.219,516767474406.013,539124774579.204,447350496330.081,503824717298.403,332628169935.9,610664769682.464,3065655053008955
724538716822.31,695849897995.903,1044780873869.3,384101508832.613,371431084689.579,370684483761.901,317040104112.535,250749139101.035,454173385302.375,2805829331098301
741127567502.688,684031187716.684,1054993111533.47,405108192240.103,389708269577.575,403136123082.462,340765378042.048,283168562176.903,444607787332.364,2630641090346162
