"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","EnergyScore_Opt_vsv"
317780448963.489,258312693391.684,199537377806.6,183353040092.138,174770779153.968,184050692356.183,155851426221.275,253299632164076
490043096024.13,787050024979.018,407265624292.766,305515140227.688,286373972508.544,326929107251.279,279602867391.292,544325171159106
615074614685.046,1351118764679.87,529607650727.669,449619405016.711,465780922724.94,432288695936.638,516768782896.816,1782115994420294
2070219065056.48,6148301230185.14,1937715961813.94,1428382312900.82,1562805860862.34,1542414645081.3,1865938653820.01,9258928137436684
2874128045264.86,6811176705460.9,2610653382289.59,1849212229443.95,1993781694815.93,1779340534548.69,2151391202848.1,10498879148850370
2603210172966.71,5990755150596.85,2613021701875.8,1692316890148.34,1747346708798.39,1619843877290.92,1804950877675.81,8353724282268321
1623758925469.44,3481084710760.96,1689189642673.56,1075853494089.81,1096599956851.02,1005779444090.83,1133013533399.96,5371172172944150
1346036761923.25,2314114155679.08,1307302095204.51,957490420185.087,1004785307018.02,780823977188.441,1012974017049.22,2953315153228859
658904781857.609,921903658959.976,597240236904.547,658556269753.667,655712885592.184,738739486131.612,676033529444.8,1703829668959848
727354544809.891,1036950844996.31,745390694811.997,565534154679.456,564565801500.855,619935904801.447,582355826651.665,1445438625568014
1486510728183.89,1796202661408.62,1439856740069.86,1279639943729.83,1259591952673.3,1368479841965.17,1219033110657.18,1880609580683096
1784044117498.89,2110080575225.94,1672664737012.05,1537487377684.33,1512511475501.94,1605765826755.14,1476391003061.32,2481124097683017
1329551510338.3,2002318062650.15,1482874131293.61,813902847996.59,808110301296.231,859208684183.619,823887492391.349,4483063544873211
1848498980129.27,2063014488235.79,2245937959527.1,953728770179.888,967524757099.274,876137464863.834,930248146311.533,6632049078467898
1990903329315.05,1844547046904.89,2306990859238.62,931400289364.605,954293489014.804,830748947775.323,900608299488.676,6458485095186026
