"Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1286995683.58094,1292634689.79168,1254500550.02065,1272415016.45919,1283733400.40634,1248241075.66508,1316810318.27203,1250916019.64455,1357568275.95417,1521834011.42446
996743024.093007,1707615361.4238,1287809770.91689,1024748687.53411,1007213170.48654,1278790621.09982,1000067144.10926,1228249353.55893,955968056.790765,865936204.074626
363652387.770122,1225812772.99224,695506226.556488,373419351.192588,356105567.65246,689874802.092394,376154779.714044,754511181.326084,396133650.177867,435169074.567022
326192641.228788,232890955.161294,219540952.957878,303146658.812884,312963898.237157,216213899.956618,316498578.330642,200970398.717322,294828878.023816,461939667.402656
665621022.841281,1788697132.31158,1095950288.01243,693025503.550796,681162819.104944,1090796324.02725,742795111.834409,1112751830.61523,692306809.117139,572425005.170462
204148505.022068,300684146.282722,193294081.010688,179518122.252802,180707359.1888,190293677.609215,222221790.419805,209033321.702744,233657367.773426,284853184.964846
462432163.303421,1202054070.7201,691172797.482528,469555169.278003,472164139.743742,687865780.022905,468176616.767195,668100070.945809,446952331.118157,411247168.138243
260447679.460581,419127979.742585,248824915.183849,237515003.98743,237754729.276655,246882364.265036,258623623.178473,258235386.325491,238658968.586375,135243174.92437
261969637.050769,263693382.251078,201460624.867016,238761050.136117,237319131.071828,196267623.027647,203982290.020189,201868828.309948,220901817.942249,251240630.91781
842082120.16563,1472875877.83349,1087257134.00618,859585149.941996,844783400.092983,1078040440.87967,817754951.823261,1010890025.31271,780595040.056085,576090571.024163
1032230607.12563,3037175371.34301,1766513959.10491,1062704819.93128,1051443430.78323,1760271780.44403,1166798109.44149,1847384223.28794,1052489065.00226,881174412.591864
305726174.152431,554527704.946945,350708203.640237,293454123.462174,293021152.655485,343789787.021489,282422434.244216,330644893.628338,252814648.4159,171462106.002904
