"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv"
11621619.0873974,11741521.7104493,29645521.2578713,11533873.7199397,11661334.6772613,11229750.5584097,11961888.9283786,11235096.655423,12343308.1017014
10829312.2698966,17523971.3837824,32032837.1609926,10768687.2776346,10600207.6992794,13264080.1152243,10514408.4324481,12699869.9570902,10112210.4260022
4153892.93639896,12732154.7060023,26209783.2099577,3860193.64583747,3670576.41866419,7184717.53013899,3848860.37778712,7836066.03040176,4020665.36492809
2970908.0685939,2339246.64066282,21154491.094997,2852239.65988359,2944096.83285963,2041594.59483768,2994952.88247228,1916670.30886791,2784300.60833461
6678456.40186803,16898157.8834144,29349904.7906583,6504174.39736396,6405703.18075851,10208460.7738457,6948186.35247123,10417046.7236422,6524412.13024619
2162313.15837621,2852473.447015,21014392.7439008,1945659.67585878,1953992.27841318,1883282.06473297,2342755.83356133,2100305.0543248,2460396.75738067
4394128.06865305,11265105.8921877,25364810.7273714,4205622.91077713,4222375.93744627,6288562.04362,4143508.74630138,6091467.32582572,3974343.84902086
2182839.08847538,3720740.16264469,20999752.8189645,1977635.57424361,1973220.20389163,2033701.41015985,2168251.19456083,2154371.26818647,1985176.34623555
2569033.07890411,2422081.6431262,20905434.4742378,2402949.21646325,2374166.47930129,1936291.26165095,2046965.17595065,1996268.35300378,2204486.64471283
8260905.42395283,14260050.0020892,29734596.5514143,8142134.43704345,8005262.26037095,10324840.4688915,7793589.4274623,9694268.25212182,7486754.24900416
12076014.4750575,31929329.4003647,37858089.8012398,11647015.9756581,11530565.3850522,18849692.5358665,12626532.7676934,19789012.5843701,11567216.9191569
2942507.49660028,5486946.13267911,22580560.0342588,2775190.59629597,2772334.77660101,3278037.26003492,2653247.16690756,3157988.96596712,2395518.2428757
