,t,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTSamc,MinTSamcv,MinTShrc,MinTShrcv,EnergyScore_Opt
0,1,1,1.25508002451987,5.45281276145091,15.3832613496793,1.75706522861495,1.25508002451987,2.67217314123183,1.25508002451987,1.92042784180316,1.25508002451987,1.51180284218861,1.25508002451987,1.3407516422678463
1,1,2,4.33453776304427,3.85665518194244,9.81697806996086,2.88573441924332,2.20191459035721,3.21313355432764,2.01235739344366,1.75321385499503,1.86128145740309,1.74129881002402,1.71342981958545,1.682725315276377
2,1,3,2.07919634474193,2.57168909316781,5.89710380442771,1.67957345686092,2.24031184129375,1.41952674072335,2.07295508042323,1.77845551846083,1.78565886516448,1.56292173267514,1.57989860768498,1.1399634478613594
3,1,4,5.23345175838729,5.23345175838729,9.10169029229737,5.80239878838172,6.27770574989829,5.62839928593841,6.4489826264205,6.99587600684781,7.31737498136029,6.76120439096899,7.16996755649587,6.219203965551291
4,1,5,9.59178834120713,9.59178834120713,13.8087444290836,9.91352065292293,9.34500991302983,10.062895505433,9.16661142817218,8.71428571424442,7.70371574639177,8.56299253155231,8.04358469672295,6.866452296416295
5,1,6,4.05871682013733,4.05871682013733,7.88428591366718,5.75083818025186,6.27902324454289,5.20152445410732,6.09533329542029,4.90199676041479,4.66130944857091,5.14509219881961,5.1892265822051,4.945348158384523
6,1,7,5.37822061026222,5.37822061026222,7.09489785103419,4.05399841635196,3.57322048415848,4.50259251757579,3.67606299389091,4.63218010257166,4.48902675739675,4.51955741767924,4.45803968174409,8.930894814225848
7,2,1,1.36083139907033,6.01811998224253,15.3388497333286,1.97580795928506,1.36083139907033,2.86509745618777,1.36083139907033,1.76918208371208,1.36083139907033,1.55416713006965,1.36083139907033,1.2561406780566757
8,2,2,3.68050318106619,4.29602919549586,9.48091722461902,2.64546770091244,2.16478216080787,2.9274976640993,2.01216070655275,1.83238375087588,1.71507281624905,1.81469276358231,1.68336687449902,1.6317094239432186
9,2,3,1.92757588843723,2.23977401980691,6.10380070168123,1.24292667144568,1.58731796260863,1.13652767725567,1.48194820950034,1.2941597923314,1.23724496465908,1.18907867302547,1.12280882233539,1.3055222210815232
10,2,4,5.09860246501762,5.09860246501762,9.28283137232604,6.23871611238999,6.78273086175975,5.89157823606831,6.86438025363542,7.27923412435466,7.75367482052221,7.32873560253978,7.67007132690598,6.329002546453832
11,2,5,9.99797060195999,9.99797060195999,14.0295848895853,10.1183858108215,9.58399651883332,10.3069186468777,9.43880261027959,8.28612275987177,7.94568195205278,8.57242412654148,8.29701641513325,6.87584653788743
12,2,6,3.30516990816422,3.30516990816422,7.3114334412251,5.13874779521375,5.65201737463922,4.60310338425199,5.50171603958875,4.30461779662154,3.96487275852147,4.58423686699274,4.5189265963337,4.869651527061618
13,2,7,5.46818794714663,5.46818794714663,7.15088742912173,4.09491859756619,3.6088997073746,4.58182274594267,3.71777171948586,4.69656595813334,4.53783572815248,4.58795133094342,4.50701403034405,8.930894886499253
14,3,1,1.31525783602733,6.08345132854711,15.259431175034,1.87303802115366,1.31525783602733,3.00230825031541,1.31525783602733,1.8301728865452,1.31525783602733,1.48415162365698,1.31525783602733,1.5165870419569418
15,3,2,3.77903034572933,4.4013841290634,9.88396701090711,2.67839104161228,1.87684470146157,3.11552598135899,1.83544600217572,1.4407036485255,1.87481586882694,1.44517824208086,1.57662791286763,1.7075002227256637
16,3,3,1.59955828464006,2.65250395326761,5.66442468845779,1.27894418813562,1.89802888954298,1.18385358155071,1.80417714468084,1.67346187689913,1.75781445498158,1.32064458520031,1.36835936246272,1.338875690260662
17,3,4,5.06010750061622,5.06010750061622,9.18120132014344,6.00219092241653,6.55270430373668,5.71958202086173,6.66030088127544,7.66058272939229,7.7883084691774,7.29258332905928,7.5696357864806,6.358408012886234
