,t,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTSamc,MinTSamcv,MinTShrc,MinTShrcv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,1,1.18861814950359,4.09357668013345,15.2541842307434,1.41563260452435,1.18861814950359,2.34701659247882,1.18861814950359,0.878542865937306,1.18861814950359,0.577853690515166,1.18861814950359,1.3504922764241891,1.414629067687745
1,1,2,3.77520308555463,3.45454029471799,9.59228961243489,2.85562942950907,2.39614070198037,3.09227407468122,2.29976200366527,1.8461444141042,2.06469313416156,1.90601376397978,2.12630239716205,1.9711158455768119,3.094550123368349
2,1,3,1.89875358743024,2.00692349869966,5.99308337871774,2.03893624453713,2.52089078767293,1.82505226710673,2.43718994555399,1.86452455683818,1.86871087654405,1.86744988482195,1.88712690177728,1.404572237107783,4.302134752504288
3,1,4,5.47930605727139,5.47930605727139,9.71112761180432,5.87224702619095,6.41326198652566,5.66767778695933,6.55546625042441,7.87459838273277,7.45396253592409,7.33373364200848,7.2826894506468,6.4361723141806,7.729120991948737
4,1,5,9.63362716686634,9.63362716686634,14.1002613528078,9.38938309769561,8.780088031358,9.56506480505944,8.63546150564206,7.37509742746959,7.52275750047788,7.94801735366817,7.68614584185223,6.0714225385722544,5.070471432345572
5,1,6,3.91087151778028,3.91087151778028,7.90594904932049,5.3630097027054,5.87418378980497,4.86555857709303,5.74316353373907,5.0050154778279,4.85794090871153,5.08203536131673,5.0933000050787,4.717024936986485,2.9787153459540887
6,1,7,5.28077926575452,5.28077926575452,7.24179984562345,3.95821315471448,3.52619615902584,4.37840400159037,3.64181290783584,4.33481677089906,4.41453598128586,4.37376146180521,4.370216298225,8.930895493725448,8.88083475297174
7,2,1,1.30796085878913,4.79535006935619,15.1376536649169,1.48858892222552,1.30796085878913,2.6312369999042,1.30796085878913,0.914356313604194,1.30796085878913,0.601864035454952,1.30796085878913,1.2760655696603485,1.3163105285043262
8,2,2,3.99537049118304,3.64803117459557,9.46541517298316,2.73457425928782,2.12338236708446,3.08707849016798,2.04348765756573,1.91937021640072,1.91245897775995,1.84499867926918,1.92347449246062,2.125733062250861,3.361064884248521
9,2,3,1.8064416337873,2.25954559723391,5.92458938670845,1.98022795030605,2.59769917708101,1.79506699327015,2.49524818099233,1.7948640158589,1.86215606403791,1.79956219333786,1.86345195339624,1.4044389980097025,4.211502990078707
10,2,4,5.22225768964396,5.22225768964396,9.3873972133855,5.7452265546218,6.35947233799706,5.50781404624919,6.48543665735786,7.81606277866602,7.52199053667478,7.28350266096463,7.36153318382893,6.68998926969372,8.200663873888843
11,2,5,9.77665941065825,9.77665941065825,13.8778444463324,9.32264747262323,8.63737633842064,9.57916356873959,8.50490155145784,7.24823095395217,7.39524104802297,7.84480443778336,7.54819182735956,6.239366336766927,5.2510563086010675
12,2,6,3.90249367828151,3.90249367828151,7.66124532080442,5.31009287754278,5.85980304105737,4.81146306830099,5.72714500299143,4.95298274326512,4.79479523259406,5.02922377972432,5.02854827099244,4.761397341493774,3.0297835652901166
13,2,7,5.49388665043197,5.49388665043197,7.35206346954363,4.00610414593683,3.50068602758329,4.46391480576466,3.60092446008218,4.45578972633898,4.49015800199765,4.49401559018398,4.44503094355199,8.930895494011606,8.876037532127178
14,3,1,1.21613380604597,4.40640872981352,15.1072305463979,1.60264694596876,1.21613380604597,2.57174514164689,1.21613380604597,0.896734307088308,1.21613380604597,0.632485740185561,1.21613380604597,1.384775263333606,1.4226315409045447
15,3,2,3.98800470947034,3.73561788732243,9.58900230064733,2.86979565017803,2.2209614043533,3.2172748442848,2.11014543683097,1.53450948812264,1.65662839884626,1.61206179787974,1.7277124965682,2.0911307345152537,3.186366426669278
16,3,3,1.54315587351605,1.71472184266478,5.77043550450258,1.70446356079753,2.27358702788954,1.50346759547715,2.16428241812287,1.52668176662185,1.56641069378319,1.52939912297201,1.57065893216111,1.4777404704830257,4.22967253910181
17,3,4,5.15722459978306,5.15722459978306,9.1328638618203,5.5811458128364,6.08141128654488,5.37713469494122,6.2079797547014,7.44933151953994,7.08065981515808,6.93968632332536,6.92063488206664,6.498863074423924,7.786354793259074
