"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.36500289783164,4.82311552982532,4.90631089868939,2.05200713615662,1.36500289783164,2.95156933826904,1.36500289783164,1.47899999930942,1.36500289783164,1.36500289783164
1,2,4.40079648767472,4.11039003646364,3.7556715284259,3.28300985701347,2.67813304819395,3.59506581421251,2.58174240574708,2.2742986852456,2.13870858783155,1.62370838573221
1,3,2.01097536038023,2.08777537719299,1.88910595153173,2.12490193264318,2.49388424381277,1.95134161491887,2.39110123959671,1.93935954848362,1.97605471155552,1.29391152522776
1,4,5.21277432928487,5.21277432928487,5.85389888411747,5.50368347316015,5.95397961219135,5.35690598633265,6.08116121709947,6.48687396632382,6.82733165128939,7.04988113103791
1,5,9.99974624959781,9.99974624959781,11.5055838506234,9.67126947564651,9.11886807995646,9.86376323733382,8.96956448750598,8.44163049358044,8.15797268699765,7.68313334744915
1,6,4.07232835009403,4.07232835009403,5.89316037121673,5.43657911580119,5.93068523159037,4.98767238377862,5.79447388232661,4.95463216168773,5.13094740911159,5.14452035002786
1,7,5.19224715537555,5.19224715537555,5.02063861846799,3.82429079901343,3.38664759736565,4.24669299828595,3.49130133875577,4.2930952930803,4.23292195481989,8.67068091979638
2,1,1.40827154670252,4.36320390450033,4.83269455607717,2.02479155621136,1.40827154670252,2.79717441598385,1.40827154670252,1.53682912291037,1.40827154670252,1.40827154670252
2,2,3.82213446649744,3.4333118150083,3.34449327138753,2.83864953536504,2.37557317856284,3.07206717465162,2.29475510896707,2.0469824544451,1.98406353961485,1.60441188548354
2,3,1.90597096362842,2.1562695584151,1.86983264679904,1.97191214019458,2.28959435017589,1.84960191024552,2.2186047656743,1.84703239231613,1.86407895278362,1.32523088521456
2,4,5.75083281497896,5.75083281497896,6.52209843977254,6.04940897134031,6.49574379748538,5.8960350479518,6.6230933032791,6.94589354600462,7.24620107380744,7.2202384628171
2,5,9.5197429691445,9.5197429691445,11.0035387924342,9.34050097788869,8.87356269883047,9.47615898726316,8.7246210730522,8.25587689729785,7.95333473623359,7.48952523886404
2,6,3.84431712761244,3.84431712761244,5.4418035916255,5.03141948033523,5.45481515396053,4.64281182656621,5.32528200654337,4.59915280723207,4.74115883391257,4.80615582339628
2,7,5.23632085220143,5.23632085220143,5.12617907286898,4.02894693892868,3.66734082588401,4.38718714119705,3.77394139516301,4.44955071274801,4.38813781749932,8.68496186655767
3,1,1.4228206629419,4.81918564798732,4.93596548200246,2.07004592360795,1.4228206629419,2.94448874989037,1.4228206629419,1.51757371493438,1.4228206629419,1.4228206629419
3,2,4.22027102904725,3.79285309590003,3.68215252385957,3.14511984500278,2.57686884739081,3.40146629764109,2.4582864601206,2.12429351977206,2.01442844633389,1.62416807480516
3,3,1.80202185236476,2.07856217246516,1.77800221401868,1.84451576729486,2.23601363089366,1.70834354582367,2.12111209174542,1.68781198267836,1.71373473439021,1.26090576461479
3,4,5.15991116909782,5.15991116909782,5.97726559550251,5.49696531082057,5.9997581410142,5.32807884449087,6.13389325637369,6.52351352292559,6.87323871824565,7.1349929297919
3,5,9.6403720182325,9.6403720182325,10.9972284695192,9.3591209460484,8.80811457684804,9.54317233993992,8.65876371567807,8.09925561121087,7.80959633073869,7.53086209026593
3,6,3.77322495464173,3.77322495464173,5.5216965736364,5.10594218939952,5.61096561535082,4.65682016005783,5.47138788070673,4.62244771331304,4.79901232232528,4.96450511961386
3,7,5.3043271467991,5.3043271467991,5.14310504270479,3.84483104512032,3.41234908015541,4.27919993246455,3.52031992681239,4.33553280406491,4.27033464130589,8.68461204052696
4,1,1.36701698427992,4.60702338306633,4.90487775852713,2.00555170589754,1.36701698427992,2.86167425486719,1.36701698427992,1.46488537135159,1.36701698427992,1.36701698427992
4,2,4.02076253918418,3.70699655781592,3.54518143398146,2.96695732329624,2.40351730320235,3.25350870371865,2.31016341606788,1.98416788501067,1.9071622170123,1.62924943388413
4,3,1.76380029092323,2.12051634274659,1.74491209655958,1.87807891152891,2.25453803069903,1.75006399923367,2.15352042203345,1.74387055869241,1.76924311013904,1.32744701764366
4,4,5.35262213959598,5.35262213959598,6.12697501035312,5.70255693629864,6.19490832138431,5.52824965059887,6.32920518354548,6.70453240701799,7.03920154725061,7.45723870220259
4,5,9.33425457183313,9.33425457183313,10.782875700395,9.02722788910988,8.49652183309765,9.21001570320699,8.35020654982736,7.83071285649782,7.5342880013613,7.42733376188378
4,6,3.76185891200754,3.76185891200754,5.50328067751533,5.08757871405731,5.57719332278663,4.64530641018987,5.44103251558534,4.61210620896069,4.78177820170737,4.87080978163036
4,7,5.43993863427852,5.43993863427852,5.2929674939217,4.0465800842583,3.61537801954957,4.46368119938889,3.72811741695368,4.52362789788733,4.46044789005291,8.69155014667752
5,1,1.2835239450898,4.48246846031912,4.80450073588004,1.92136751097854,1.2835239450898,2.72464399369209,1.2835239450898,1.36577576745425,1.2835239450898,1.2835239450898
5,2,3.91332069551969,3.61620155540816,3.46841214713023,2.9556785856575,2.39989414148986,3.22239579182972,2.30624424017376,2.00721685993393,1.92998460046708,1.53247247684502
5,3,1.88868909078147,2.13943078906597,1.78089558094687,1.99487850104493,2.33112136483475,1.85900575690461,2.24454352850327,1.85772271690154,1.87925085028012,1.30382167918001
5,4,5.17320313729885,5.17320313729885,6.11674534152404,5.53695629429932,6.04329063943613,5.35936610423589,6.16825295024955,6.60611561555142,6.93559792944766,7.20739528181922
5,5,9.50054633167761,9.50054633167761,10.8955044725949,9.26924023473383,8.78310338634886,9.4250323022529,8.64314715874652,8.14331242664852,7.8569841242325,7.45067358318672
5,6,3.91762873459231,3.91762873459231,5.65027048170967,5.1993764342886,5.65949859449046,4.78666674086166,5.53464427326176,4.75976224396957,4.90955570867498,4.96676586052394
