"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.39187047453781,5.63632970804389,4.83867421271896,1.76794347963466,1.39187047453781,2.82756553437603,1.39187047453781,3.20433047446655,1.39187047453781,1.39187047453781
1,2,4.22382709115855,4.53385821895556,3.62277141344419,2.86443496677223,2.07455102909753,3.31425911307255,2.00035419465101,3.17566440738157,1.822505719806,1.98863167817421
1,3,1.87225744736452,2.42191535310756,1.85508721689868,1.60107231332875,2.19549422618105,1.41056536661606,2.14684736141417,1.4875433860856,1.56297131284576,1.3047976210118
1,4,5.04810602984575,5.04810602984575,5.9303608267225,5.77217870878528,6.41736462037567,5.53800370681972,6.5641728351976,6.77903853896342,7.35407774087883,6.70094556575672
1,5,9.97731868362602,9.97731868362602,11.2879300329739,10.1013447354281,9.38001898427569,10.3325357141125,9.22911181629176,8.00197485938131,8.06368948401275,6.4471574239847
1,6,3.9865536841986,3.9865536841986,5.88441999221405,5.77446314807367,6.37645937645389,5.24295737196888,6.22842497070594,5.46552972962716,5.35454529782365,4.95066830783029
1,7,5.13097987860476,5.13097987860476,4.88523229976636,3.97762484792129,3.42692814738744,4.42344637122658,3.53894704526304,4.44940924070976,4.41766755473412,8.93076862206057
2,1,1.43534069784167,4.86260303516727,4.74679213301688,1.75386714186813,1.43534069784167,2.60297247593769,1.43534069784167,3.09345063457906,1.43534069784167,1.43534069784167
2,2,3.88194151278364,3.8291096346659,3.29336610656012,2.47978525231541,1.83733457859123,2.82694576444955,1.80942320728496,3.05514007934799,1.76071741284683,1.96059159269872
2,3,1.84310053635529,2.41565800356121,1.86946900349717,1.51406912327499,2.03097528135905,1.38838012199228,1.93743947477061,1.41359572296841,1.51683301552327,1.31285798555001
2,4,5.75212027093457,5.75212027093457,6.5364647078397,6.29606905727565,6.85043057097405,6.07869048283509,6.97647372156405,6.99839292110388,7.61173858798727,6.54440629751385
2,5,9.55153848560531,9.55153848560531,11.0955557742525,9.9059257253875,9.30816056089068,10.0340144181706,9.11621651589932,7.79858399851439,7.90985182119693,6.29346735889636
2,6,3.79426868488236,3.79426868488236,5.48411349733671,5.39895987813417,5.9164315459748,4.90122100374453,5.75392919893827,5.08485139872155,4.98814800947158,4.81344896387261
2,7,5.12826833243518,5.12826833243518,4.97474435074412,3.96010354209174,3.49786905498264,4.41275402949596,3.60398242503717,4.37382455032233,4.38272904024202,8.9307666351676
3,1,1.47193069839593,5.45316185118357,4.81861028139863,1.78316246146559,1.47193069839593,2.81312113168898,1.47193069839593,3.04302998605707,1.47193069839593,1.47193069839593
3,2,4.12033413833438,4.0656204278995,3.48401087390423,2.75362428895992,2.01464533985473,3.09652585202251,1.86252635227636,2.99392508976101,1.74772472896148,2.0532607450519
3,3,1.82745776278077,2.55663860815821,1.79136308081466,1.42510716158359,2.05258418219336,1.25649670234686,1.8992236075549,1.31531363696685,1.38610341201605,1.30468090394904
3,4,5.268968271786,5.268968271786,6.01860931107966,5.83361012230869,6.47060559053214,5.60069260498581,6.6358371485718,7.12012033770215,7.44993624051257,6.53160523655362
3,5,9.50719822641383,9.50719822641383,10.9896099930372,9.79673687132622,9.08636200372503,9.98353506826998,8.89373528736219,7.41977698219917,7.64537901660591,6.31690353531297
3,6,3.74342012034835,3.74342012034835,5.52449291164054,5.59856176863023,6.20679821837744,4.98045300904057,5.98540057534568,5.19618486836545,5.02539467948605,4.85720455834136
3,7,5.45252875513407,5.45252875513407,5.16104862194575,3.99641234373896,3.42343335292224,4.54135582101333,3.55395458626638,4.52676204878522,4.53473549952341,8.93077936809611
4,1,1.37527226029618,5.1445714450384,4.79988298878368,1.72523266560551,1.37527226029618,2.72998895362541,1.37527226029618,3.07123204201144,1.37527226029618,1.37527226029618
4,2,4.09387702416972,3.94259997090202,3.44552561799061,2.55274670651841,1.84756871441723,2.98707671380679,1.74175985483125,3.05844484215065,1.6723833740984,2.04357255711277
4,3,1.73323990921471,2.63297480207322,1.72711194845513,1.4417195354744,2.11921609395322,1.30310656963146,2.01050195469042,1.33926828195624,1.48726353540596,1.39041970244936
4,4,5.31744984577989,5.31744984577989,6.03889513328007,5.92736070803773,6.58399931411217,5.65914602558538,6.71730878079438,7.01090322890967,7.53090833549312,6.91310268754045
4,5,9.25201336759019,9.25201336759019,10.8127467549593,9.50822573362719,8.85016397545608,9.70993972408496,8.68067950597067,7.28557789909198,7.49566093163008,6.2613729469133
4,6,3.79216788889471,3.79216788889471,5.69337749080944,5.5488800536341,6.1525416793619,4.97378260025066,5.94896544435842,5.1882325752509,5.09321014462582,4.82138742543722
4,7,5.43880616562692,5.43880616562692,5.20885664339231,4.10502622444643,3.50717974408848,4.63438738064998,3.64301265765262,4.62980600503468,4.61816287593496,8.93077522201461
5,1,1.36441748606003,5.41540580637538,4.7079332625536,1.65464701589343,1.36441748606003,2.62433266161273,1.36441748606003,3.12589894992861,1.36441748606003,1.36441748606003
