"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.33170728534006,6.06093238743212,15.4069515218583,1.94667477353226,1.33170728534006,3.0279451834998,1.33170728534006,1.56394762014385,1.33170728534006,1.33170728534006
1,2,4.25393146945251,5.0905382827404,9.81320358594759,3.00823683254927,2.24603563694417,3.52561718847154,2.16096319607836,1.83744567188432,1.91188930751448,1.81493234538983
1,3,2.07049764777116,2.42503444092625,5.98392230554606,1.62924567608326,2.04115576700342,1.4447185883313,2.06553679262966,1.62264270530642,1.55530743899548,1.3973592713912
1,4,5.18446580262572,5.18446580262572,9.05908935402779,5.66591310990047,6.21507333683089,5.50358190233967,6.35722920926623,6.60966107191982,7.05373762203701,6.53406014211817
1,5,10.1430281062138,10.1430281062138,14.1811700746399,10.1877696992562,9.58290847449997,10.3820568465764,9.4518043056664,8.50926904362503,8.45169286581881,6.9814208828416
1,6,3.88825233664046,3.88825233664046,7.66917282372588,5.62291647817752,6.16512323074246,5.10919202738103,6.00705208610682,5.03447986881747,5.11074939850973,5.06922711524699
1,7,5.23687755071303,5.23687755071303,6.9691149378809,4.11385399635778,3.56460992586546,4.57619774105391,3.70943270143922,4.63437920153558,4.59816504674917,8.93089485166037
2,1,1.42894075449094,4.74414162206023,15.1830590625327,1.80375192500862,1.42894075449094,2.49398144481729,1.42894075449094,1.46808530876603,1.42894075449094,1.42894075449094
2,2,3.89434571956399,3.8495100020931,9.31457682460906,2.57696126997177,2.00200804414172,2.89274292055022,2.00745022537711,1.71159718290498,1.92265264427259,1.65447643293258
2,3,1.68378354202073,2.49350543198116,6.02462143549565,1.51991896293375,1.958002557664,1.45226557861624,1.86405066343882,1.54022478329641,1.58440011602459,1.22242495111308
2,4,5.82904796104686,5.82904796104686,9.41294789663303,6.30000990679093,6.77452063137082,6.13556719840553,6.94561153216073,7.12300210847153,7.51822182422114,6.1858549033117
2,5,9.58979009872648,9.58979009872648,13.9363575042568,10.1467774280274,9.65219716762834,10.2044047981994,9.46213756614933,8.53835897563412,8.33885174630624,6.80585367716394
2,6,3.86342876033018,3.86342876033018,7.4634966210086,5.3185983931719,5.78607387467389,4.87349497416058,5.61797725574748,4.8136372511078,4.92631579156755,4.75906940688442
2,7,5.19265908992961,5.19265908992961,7.09684499574195,4.10998192833141,3.68195836567732,4.55129882235858,3.80826361426289,4.59091721945362,4.53605191275481,8.93089483501987
3,1,1.44622366166104,6.10213894516024,15.3069598542901,2.08629313219009,1.44622366166104,3.21379007885732,1.44622366166104,1.81789170595871,1.44622366166104,1.44622366166104
3,2,4.19605820830674,4.48578609300602,9.696105795371,2.94238465708212,2.22661289575489,3.28799672566157,2.00822231828731,1.79856261762648,1.80334327439502,1.97329999199838
3,3,1.90545755582063,2.74526139196276,5.92025713404055,1.29787799503051,1.81348832037647,1.23258215981906,1.71261279416176,1.33532438436929,1.35184788976174,1.30307765258841
3,4,5.40239380144974,5.40239380144974,9.01829512960108,5.70887885376482,6.28045513511263,5.53379454119721,6.44648919843561,6.73542892923468,7.20172088807212,6.45868494381008
3,5,9.63151102587322,9.63151102587322,13.9760978312562,10.0101156085747,9.36158258059763,10.1495854739827,9.14636559236621,8.20732105674713,7.89725508731225,6.8696656975645
3,6,3.82487626871114,3.82487626871114,7.48401856415669,5.43243697444785,5.95523740116402,4.89026779977145,5.78093799751775,4.81985188010101,4.8912931152365,4.90481081627138
3,7,5.40993507780608,5.40993507780608,7.11806414037119,3.96802881683505,3.44813936210213,4.47829687461759,3.5709560957589,4.51620888961386,4.44129346621578,8.93089488727018
4,1,1.279134814613,5.47454836503726,15.3771184448867,1.96888704694813,1.279134814613,2.97759233757586,1.279134814613,1.48101410978395,1.279134814613,1.279134814613
4,2,4.26269945380899,4.15286750328391,9.66844981595775,2.82624078877851,2.1238856000429,3.21486623882275,1.99590191663004,1.67032768890353,1.73928511089318,1.80564197406779
4,3,1.74275790700005,2.6366579795064,5.65801837652791,1.47775450481906,1.98131484110512,1.35067413914084,1.87576503147527,1.42008455352282,1.47646917793332,1.3655728339672
4,4,5.45967808216515,5.45967808216515,9.33759561073837,6.01942311753168,6.5819120292622,5.80235383375646,6.71679901541309,6.87681194469749,7.39078007919403,6.62909936595567
4,5,9.36506503633525,9.36506503633525,13.6667224524987,9.71096909387746,9.11933329460214,9.88423464703528,8.95955257856198,8.0589882578855,7.79326521792138,6.79756203317856
4,6,3.62483431971377,3.62483431971377,7.47714454304067,5.44674572832234,6.0154828517066,4.85370251435124,5.78470047809436,4.74830332635455,4.89210229353657,4.841860419693
4,7,5.56099500938209,5.56099500938209,7.27360032878421,4.20792135687255,3.60901367546724,4.72509041041695,3.74325897254783,4.75223660256675,4.69361921956437,8.93089488935805
5,1,1.30909099882185,5.46627358235689,15.09493454201,1.73399361354929,1.30909099882185,2.67702490831848,1.30909099882185,1.44522338493813,1.30909099882185,1.30909099882185
5,2,3.66539397589302,4.23005856992674,9.31746091232316,2.60561030297668,2.01068184302778,2.93978645773494,1.92402249141167,1.7016339127909,1.75556152701927,1.80605942235824
5,3,1.73221136135652,2.76551107094618,5.82204406956964,1.45938677893793,1.90726926888123,1.33717641642815,1.77788434371023,1.29343971412047,1.46703304277965,1.29705529141424
5,4,5.03351269661183,5.03351269661183,8.7484100256841,5.79001805909578,6.35011080448523,5.50614857807992,6.44336286574401,6.75351376038093,7.16168047943553,6.59274685376785
5,5,9.63070096349075,9.63070096349075,13.8249097874325,9.79913904424274,9.26740623819056,9.95805127580245,9.12946499364529,8.21882545003777,8.05655869633325,6.82782333602524
5,6,4.08309990534348,4.08309990534348,7.67764720308845,5.50197047099441,6.05446662963651,5.00575800990344,5.8937672477261,4.94781122718199,5.07321926701341,4.90121708804072
5,7,5.15103834684372,5.15103834684372,7.09609203406034,4.12021353084049,3.59671300202718,4.54053388776322,3.70799135456618,4.52165971988191,4.50404389984865,8.93089485276241
