"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.37541355416583,6.06093238743212,15.3987346733267,1.79489693217684,1.37541355416583,2.91778332347462,1.37541355416583,3.45751379673602,1.37541355416583,1.37541355416583
1,2,4.25393146945251,5.0905382827404,9.7838220247998,2.89679555666494,2.1028235472796,3.46133231794504,2.03384261157346,3.15832648457527,1.87513626767689,2.00235714682594
1,3,2.07049764777116,2.42503444092625,6.01185663769403,1.6831135287184,2.19738979225353,1.46069574447911,2.20966331190695,1.64970789963813,1.5863990420158,1.40378775297238
1,4,5.18446580262572,5.18446580262572,9.1146429547315,5.74418319228385,6.36220850721186,5.54757648515106,6.50372465229571,6.76566844597699,7.28096774200862,6.71797315114085
1,5,10.1430281062138,10.1430281062138,14.1225003071464,10.0881713182603,9.41145625162878,10.3243224747855,9.27970515396572,8.12284659920936,8.22724067612117,6.46943798754549
1,6,3.88825233664046,3.88825233664046,7.72780006143556,5.70940213204608,6.31852412048473,5.15811915843107,6.1590249008846,5.37977543826952,5.21938697413259,5.04965431758644
1,7,5.23687755071303,5.23687755071303,6.91354417253357,4.03715136298391,3.43790903098594,4.52918179158995,3.58208150012062,4.60529300095369,4.54945596863905,8.9307715407846
2,1,1.46373764867333,4.74414162206023,15.181551090112,1.65829354868902,1.46373764867333,2.38723796619609,1.46373764867333,3.3778148811613,1.46373764867333,1.46373764867333
2,2,3.89434571956399,3.8495100020931,9.29453881249476,2.47465791826118,1.87133988063011,2.8341508471006,1.89990248670217,3.32865415711618,1.90194519119736,1.87891500797455
2,3,1.68378354202073,2.49350543198116,6.04957901191877,1.57321316683297,2.1028667684291,1.46054008799851,1.98261995951145,1.42312657403357,1.60086391943224,1.2415492808777
2,4,5.82904796104686,5.82904796104686,9.46862735639223,6.38008670628052,6.9173056855767,6.18148603188703,7.08956792823557,7.35647212696356,7.74367645685785,6.39460245079013
2,5,9.58979009872648,9.58979009872648,13.877223780282,10.0509361429993,9.48498695080824,10.1485949341434,9.29631131526156,7.89570155280911,8.12078528262632,6.29654553766433
2,6,3.86342876033018,3.86342876033018,7.5212050534164,5.40355261535199,5.93435323342426,4.92106949367332,5.76525156419583,5.10603553167767,5.02951100128785,4.74213855000243
2,7,5.19265908992961,5.19265908992961,7.04344505227224,4.03182574580493,3.56011908487443,4.50581162035166,3.68343836022241,4.48755431363521,4.48766688936403,8.93076841000137
