,Base,BottomUp,JPP,OLS,WLS,MinTSam,MinTShr
1,8.583999051,8.997596754,23.17964932,8.083884887,8.299217627,6.790594129,6.666346241
2,8.799308018,9.518714472,23.38230326,8.559789321,8.759152347,7.929731574,7.968843502
3,9.695897338,10.41722173,24.81175709,9.196528986,9.396925546,8.146343739,8.316268349
4,9.516132807,10.19258612,24.40696845,8.868876197,9.146445816,8.532375478,8.644003629
5,9.33206848,9.458343685,22.41332184,9.113120056,9.339202826,9.39523351,9.292641531
6,13.51931769,18.58742968,27.69750707,11.67094646,14.05641786,7.306385798,7.45836889
7,19.61653598,27.31459816,35.13597928,18.59533855,21.40875293,12.2352239,12.35049817
8,9.990625421,14.1110961,23.18005149,8.833622468,9.631112382,7.514501596,7.711015547
9,14.11630173,25.55159817,28.40806058,11.53386145,15.43422584,6.51444412,6.512657295
10,17.01480966,24.92293865,32.94675994,15.51568257,17.78089917,10.44993754,10.46287132
mean,12.01849962,15.90721235,26.55623583,10.99716509,12.32523523,8.481477138,8.538351448
