"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
1,1,1.42509277925025,4.53915479748732,15.0357079722701,2.10475477826259,1.42509277925025,2.89468943191668,1.42509277925025,1.67583628250817,1.42509277925025,1.60289137781956,1.42509277925025
1,2,4.19039672710772,3.67863772789004,9.48043208341023,3.06808239915824,2.49703908747821,3.34386822860108,2.38857398025321,2.01979172522689,1.87815997207172,2.02324306999694,1.91953754241457
1,3,2.02009841157241,2.12813410388846,5.91355962592731,2.07519438122095,2.40731486739238,1.93531091874076,2.30903298690444,1.89489521558614,1.89566231672436,1.90938811590632,1.92480582528709
1,4,5.35779147301162,5.35779147301162,9.25498622179021,5.76970101717068,6.23904244228557,5.58266860583607,6.35582329863272,7.11815053143145,7.21686651416855,6.75743495426711,7.05371609433385
1,5,10.0869677172244,10.0869677172244,14.4111714821454,9.82021801640084,9.30114211807884,9.98543158380035,9.15154501408232,9.05954708649797,8.13516209673836,8.63970628984728,8.31709206359177
1,6,3.89970913785883,3.89970913785883,7.71772750613801,5.23790176493539,5.73172647143522,4.80149759021715,5.60129151452464,4.63061834055605,4.65893910565656,4.77332209981336,4.92132273379373
1,7,5.21398529134709,5.21398529134709,7.26103565418813,3.86580110926595,3.43960457969173,4.27279507392724,3.54898288885557,4.44236996544481,4.30564546654697,4.32250050779503,4.26257592654932
2,1,1.40652428838531,4.63114635399933,15.2739968840765,2.05899682724936,1.40652428838531,2.88890479229233,1.40652428838531,1.60010638627534,1.40652428838531,1.50954444120904,1.40652428838531
2,2,4.21032541386877,3.75811975434776,9.69673196901199,3.27102790044518,2.76635229312256,3.48877236418681,2.65092049639984,2.28634566038749,2.11645078200085,2.29143013638545,2.15730279997043
2,3,1.86589627506436,2.11080281171732,5.96033994351542,1.94842445857045,2.32544443060403,1.81805206227187,2.21001511079745,1.77526082335342,1.78983732607625,1.78386714360865,1.81010774738267
2,4,5.2196285518867,5.2196285518867,9.25654681080903,5.65748239344098,6.14700813072241,5.46075826430865,6.263072282456,7.05934512936841,7.16441335138966,6.70201995211997,7.0005947926024
2,5,9.67247141547873,9.67247141547873,13.8767458099425,9.38251015607728,8.85557285391354,9.56161404874157,8.70583077401408,8.56019705292281,7.69686029862993,8.18229461360968,7.87606494156716
2,6,3.81744320352265,3.81744320352265,7.41911248559329,5.05428763494937,5.54184411548964,4.64437216446314,5.41032955324731,4.48658194236007,4.51753245576071,4.61600821154981,4.76114891993348
2,7,5.18137899099797,5.18137899099797,7.05943924674981,3.95946595730062,3.59450606085008,4.32182869918262,3.69000327248789,4.49219359959467,4.3497620842111,4.37042321554894,4.3099996878518
3,1,1.269550165184,4.73910806591909,15.1995735423216,1.98780605025785,1.269550165184,2.91682275001904,1.269550165184,1.46337814767233,1.269550165184,1.38197352480952,1.269550165184
3,2,4.20430010076178,3.88200173268925,9.44722960167248,3.07066110692813,2.41749382062929,3.40643033330886,2.31654961601566,1.88163449728106,1.71297514818277,1.88653697793785,1.76088859171143
3,3,1.92767421322549,1.99039574338681,5.80005106541414,2.12373084949959,2.63450512156095,1.87754026759939,2.54201767573937,1.84330760022232,1.87527805997,1.87061677548274,1.92493630442712
3,4,5.16283265925585,5.16283265925585,9.04385146185699,5.53343510547786,6.02660161414085,5.35160582361087,6.15686958308406,6.88444745026781,7.03742314524251,6.54890538179748,6.88184380641261
3,5,9.9802539916239,9.9802539916239,14.2371589938917,9.68409411276572,9.15076667194039,9.86214640980203,9.00606823317795,8.84670056090597,8.01808615746259,8.47734687462282,8.18737826222626
