"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
1,1,1.52669021185855,5.23165722327401,15.1211577007442,1.93230749820419,1.52669021185855,2.80371384411601,1.52669021185855,4.59431931020219,1.52669021185855,3.06707329921267,1.52669021185855
1,2,4.30196079113773,3.66311918879325,9.48778963714216,2.71859063517398,1.94488838065888,3.0573326822671,1.79584643678623,4.43270560816902,1.7858731223377,3.05937691161922,1.54631848656894
1,3,1.65763979676062,2.36803994102083,5.86738652297184,1.41808691197966,2.12722369011603,1.24083979490138,2.01826991021125,1.28720836278094,1.66515558886417,1.2701394820529,1.41902132821381
1,4,5.14378315578745,5.14378315578745,8.73246550176984,5.70221181404678,6.32035023966371,5.45127862873684,6.46685370565505,6.94173352683742,7.33685902499174,6.82629056282852,7.27438985973234
1,5,9.31953153194001,9.31953153194001,13.3529071006351,9.58139498985134,8.89732439720331,9.75163629072106,8.71928911762037,6.69981035320431,7.23431330116345,7.49266709331486,7.51606309911135
1,6,3.78333424701529,3.78333424701529,7.4093721508735,5.40121118056309,5.99727706656451,4.87441555552672,5.81508231087286,4.96430717665003,4.64419602655241,5.06405809125875,5.02059395788353
1,7,5.24289540537948,5.24289540537948,7.08092043612665,4.01967202561313,3.45595780359354,4.49221309054904,3.56830370068184,4.46492985373965,4.5399105921627,4.53596005487963,4.50014574150269
2,1,1.4436537355829,5.22458027960675,15.1482158603851,1.6850514452644,1.4436537355829,2.67519896611584,1.4436537355829,4.63838049485163,1.4436537355829,3.11803563264514,1.4436537355829
2,2,4.06091811823671,4.12064475026997,9.67733530697665,2.44990430115194,1.7469507292919,2.86948101616719,1.71050644747288,4.39461580442919,1.96994709170736,2.97336094485288,1.69999869297691
2,3,1.56817349110377,2.46543162701027,5.86345818564993,1.26773077261328,2.06378939721732,1.18011872510513,2.02465562756635,1.40406892022956,1.68240811474091,1.30794908445187,1.39920299989474
2,4,5.21126245918151,5.21126245918151,9.31939300594531,6.09896219713857,6.80058351068421,5.76239568732227,6.90110339902692,7.37133729733305,7.77903278582748,7.25935471632013,7.75878744661737
2,5,9.54028188237061,9.54028188237061,13.9366943245214,9.78989996757242,9.10631641508691,9.96635796181224,8.94287103776293,6.62676553921506,7.47622635487198,7.57765244941128,7.75051883135737
2,6,3.58212572322518,3.58212572322518,7.38241531395317,5.2441722964943,5.87986536329104,4.66848085454466,5.69851105966995,4.80628165769122,4.45551439015579,4.90817341363226,4.8023403674996
2,7,5.12207893430822,5.12207893430822,6.76948467517957,3.73169693521991,3.14287431747044,4.24778575650116,3.27870263931834,4.15924409574964,4.24909778762767,4.22868845503239,4.2125777388369
3,1,1.26263883993843,5.6009754655245,15.1797356979862,1.64173633725997,1.26263883993843,2.71851448063401,1.26263883993843,3.88776565088229,1.26263883993843,2.53230122726661,1.26263883993843
3,2,3.90027943765943,4.23810940495617,9.61950927156014,2.71676446482625,1.97204080671136,3.10353788298169,1.87808277512054,3.68143151579414,1.72154957500189,2.47649197616953,1.56048581834524
3,3,1.76603549661157,2.37769342808231,5.79810785968504,1.5207363589088,2.11818175637915,1.37697490133385,1.98631198786592,1.48371628100441,1.68571196821987,1.45089226709937,1.48836504509261
3,4,5.37628924212892,5.37628924212892,9.55723462724274,6.10263151977543,6.72142147818858,5.81698512096117,6.8339144005496,7.308444014676,7.67533029305284,7.15156616360736,7.65866246694494
3,5,10.0393227172163,10.0393227172163,14.117731278545,10.1095215786937,9.46138363659866,10.3333033451545,9.30049517583346,6.70529196546691,7.90066900645739,7.67416327748071,8.18321313144827
3,6,3.70639402459113,3.70639402459113,7.7091826848743,5.58436607189937,6.17248046991121,5.01524241614849,5.99898772819429,5.11701004192801,4.50512060028571,5.23821856006295,5.05625088040766
3,7,5.35533984649413,5.35533984649413,7.0628532789704,4.03271698810587,3.52223667327295,4.51568146146429,3.6374606955624,4.35032861480573,4.48222725274941,4.42312651014577,4.44672486965665
4,1,1.42730441768938,5.1631911412487,15.3037616671725,1.75006962378619,1.42730441768938,2.74270131211301,1.42730441768938,4.70617277254019,1.42730441768938,3.13178754225795,1.42730441768938
4,2,4.48966558141216,3.93596394648554,9.67820036679273,2.88847383236533,2.10833555165939,3.18312564012581,2.04265716066799,4.70696875622523,2.15019049586704,3.30957808314958,1.86279383678083
4,3,1.77393869809193,2.61074492331206,6.07325529875312,1.5037203995596,2.21296142841122,1.35541606632364,1.99617418134814,1.44474927326721,1.90072869177285,1.4021592603819,1.56808854042491
4,4,5.13251575490863,5.13251575490863,9.1531804427454,5.72806592474269,6.39203963092492,5.43321843826561,6.50957577773046,6.8707820057336,7.22134282062083,6.70509570571759,7.25427194974924
4,5,9.84690020058502,9.84690020058502,14.1242727587404,10.1105769960754,9.41957810825674,10.32372637051,9.26143846502153,6.97261576752694,7.75899206886139,7.8962988938434,8.03853115506791
4,6,4.0479924707663,4.0479924707663,7.69341136365469,5.4979998000681,6.06341664631573,4.99976496417086,5.88828837479622,5.08587456414758,4.72544676356454,5.17860772923238,5.11474874234426
4,7,5.2178757058783,5.2178757058783,6.96572911696477,3.95800828716212,3.40920350419973,4.45559516374708,3.55282565380861,4.40527809865662,4.54258463853193,4.46328711435725,4.482681651951
5,1,1.41694077235352,5.37724551484569,15.111421727582,1.88582485280568,1.41694077235352,2.81379598843193,1.41694077235352,5.39250787212081,1.41694077235352,3.53999165984355,1.41694077235352
5,2,4.07106310299842,3.81250311328739,9.48083964793103,2.68003400127663,1.99941184916669,2.98676440027373,1.97512146836376,5.51868199101771,2.31531308160085,3.73396695449116,1.95496609211742
5,3,1.78244573143939,2.82594429433773,5.90597202906892,1.51855449816207,2.15499073619945,1.41239778441123,2.01160833491774,1.35237597351965,1.93019695683934,1.33613017088546,1.54854858570825
5,4,5.63474250386722,5.63474250386722,9.391286712822,6.02602665493813,6.58408950853822,5.86739355152756,6.78284382900137,7.73999187121861,7.58555401944717,7.30794607096267,7.47382890629029
5,5,9.5181365602568,9.5181365602568,14.0738912018035,10.0202395286232,9.43531057449183,10.1334786730289,9.22190526805481,6.9670135888219,7.62853325833965,7.6853216745598,7.95308606892889
5,6,3.70444682427942,3.70444682427942,7.57783416132677,5.4304279594574,5.97847952521797,4.87713272501568,5.7718679489388,4.93538956265286,4.44562695844044,5.05724945054376,4.87048116342136
5,7,5.48663933356895,5.48663933356895,7.07343642437647,3.971061014114,3.494330295623,4.44011005872814,3.60962805701005,4.23510064394619,4.42435442365993,4.31955666387117,4.38090140003518
